iter,train_loss,test_loss,acc
99,0.69786793,0.6726298,0.39333335
199,0.6689877,0.6731979,0.25333333
299,0.63842845,0.6603288,0.35333332
399,0.6600482,0.6788086,0.28333333
499,0.6703574,0.6695516,0.3
599,0.6700132,0.6687108,0.43
699,0.6695973,0.66946703,0.34
799,0.66938305,0.66922575,0.34
899,0.66943425,0.6693999,0.12666667
999,0.6693177,0.6674543,0.46
1099,0.6654919,0.68414056,0.27666667
1199,0.66927314,0.6692787,0.29666665
1299,0.66989917,0.64164686,0.43333334
1399,0.6381646,0.6690155,0.36
1499,0.66969234,0.64305335,0.37
1599,0.6692646,0.66946304,0.31333333
1699,0.67168593,0.66955274,0.26333332
1799,0.6767803,0.6700871,0.34
1899,0.67479223,0.67405146,0.24
1999,0.6697631,0.6518907,0.42333335
2099,0.67281264,0.6934164,0.29666665
2199,0.6698713,0.6687058,0.38666666
2299,0.6299556,0.6214577,0.42333335
2399,0.66880924,0.67678297,0.30333334
2499,0.50063896,0.6698626,0.22
2599,0.6696112,0.6646082,0.36333334
2699,0.65343183,0.66458386,0.36333334
2799,0.63665336,0.6779585,0.35666665
2899,0.63775915,0.66933566,0.36
2999,0.5822448,0.5340988,0.5933333
3099,0.8230241,0.7141154,0.33
3199,0.6152361,0.6828639,0.18
3299,0.6840102,0.6777544,0.32333332
3399,0.66949964,0.50671655,0.6533333
3499,0.673992,0.6694397,0.20666666
3599,0.5248324,0.6447439,0.38
3699,0.6738213,0.6634649,0.39333335
3799,0.6783816,0.6636103,0.36333334
3899,0.6692643,0.6734194,0.27666667
3999,0.6709633,0.44038188,0.71666664
4099,0.62275004,0.6752491,0.33333334
4199,0.6381887,0.6796995,0.29333332
4299,0.6695032,0.6589496,0.38
4399,0.58801,0.61569434,0.33333334
4499,0.66010267,0.51877224,0.6066667
4599,0.6678378,0.6066341,0.62333333
4699,0.5118978,0.6953756,0.34
4799,0.6631369,0.6833121,0.22
4899,0.6844167,0.6613322,0.26333332
4999,0.5640673,0.677429,0.35333332
5099,0.7163587,0.6501713,0.44666666
5199,0.6896243,0.67271,0.06666667
5299,0.53237385,0.675229,0.12666667
5399,0.63087386,0.67898315,0.31333333
5499,0.4509679,0.67785275,0.35666665
5599,0.687802,0.6734823,0.37333333
5699,0.62196475,0.48277932,0.60333335
5799,0.65832144,0.6694352,0.16
5899,0.6696186,0.66666114,0.29
5999,0.69301814,0.52306,0.61333334
6099,0.6547772,0.5540163,0.49333334
6199,0.70161945,0.6948268,0.34
6299,0.6788745,0.6733036,0.21
6399,0.59706885,0.6813337,0.29333332
6499,0.41394472,0.68654233,0.23
6599,0.5693111,0.6307545,0.45
6699,0.7158928,0.54297,0.59
6799,0.49817774,0.55208695,0.56666666
6899,0.52228194,0.688663,0.29
6999,0.6797848,0.56698555,0.5133333
