iter,train_loss,test_loss,acc
99,1.0884143,1.0903789,0.33333334
199,1.0844871,1.0784147,0.33333334
299,1.0728999,1.0534443,0.36333334
399,0.9723032,0.9997932,0.27666667
499,0.8715318,0.8404846,0.33666667
599,0.8660579,0.7986154,0.27
699,0.7873885,0.78733546,0.31666666
799,0.7888098,0.76540524,0.37
899,0.7528217,0.7629269,0.34
999,0.7440644,0.7395025,0.31
1099,0.7395249,0.7436733,0.34666666
1199,0.7375486,0.7375529,0.34333333
1299,0.73018026,0.7295639,0.45
1399,0.73406696,0.7341377,0.33333334
1499,0.7305603,0.7338414,0.31
1599,0.7272174,0.73166907,0.32
1699,0.7262268,0.7318088,0.31666666
1799,0.72418475,0.7241003,0.31333333
1899,0.838448,0.7319226,0.13333334
1999,0.72815496,0.72521544,0.33666667
2099,0.73473996,0.7291418,0.4
2199,0.7247271,0.72492975,0.41666666
2299,0.7269127,0.72319144,0.36333334
2399,0.7219736,0.72422117,0.29
2499,0.72380716,0.7260709,0.30333334
2599,0.7294944,0.72227114,0.36666667
2699,0.7236869,0.7224451,0.41666666
2799,0.72783536,0.72397596,0.30333334
2899,0.71999854,0.72323895,0.29666665
2999,0.7218153,0.7207127,0.33666667
3099,0.7214448,0.7229349,0.34333333
3199,0.72154886,0.7212738,0.37333333
3299,0.72192353,0.72407526,0.30333334
3399,0.7210462,0.72168875,0.34666666
3499,0.71813506,0.7218012,0.32333332
3599,0.71942997,0.7212592,0.33333334
3699,0.7224011,0.72203386,0.33666667
3799,0.72246164,0.72174543,0.34
3899,0.7206591,0.7239222,0.20666666
3999,0.71531945,0.72306937,0.39
4099,0.71731997,0.72337043,0.23666666
4199,0.72071964,0.7215914,0.34333333
4299,0.7000844,0.71987075,0.32
4399,0.7240343,0.7236128,0.47
4499,0.7213826,0.72107524,0.42333335
4599,0.7221567,0.72210675,0.31666666
4699,0.72195786,0.72175914,0.31666666
4799,0.7221089,0.7243248,0.34
4899,0.71170646,0.7258204,0.33333334
4999,0.7213929,0.7211831,0.33333334
5099,0.7220164,0.721044,0.31
