iter,train_loss,test_loss,acc
99,1.4684541,1.469328,0.188
199,1.3727133,1.3709595,0.174
299,1.2690881,1.2677138,0.19
399,1.1802542,1.189228,0.184
499,1.1381634,1.1417856,0.224
599,1.1226816,1.1096995,0.202
699,1.0905405,1.0995717,0.192
799,1.073454,1.0816047,0.194
899,1.0879222,1.0685177,0.224
999,1.0664871,1.0651017,0.178
1099,1.0485725,1.053633,0.22
1199,1.0394068,1.0545698,0.216
1299,1.0563053,1.0418196,0.214
1399,1.0466096,1.0423815,0.22
1499,1.041965,1.0377787,0.192
1599,1.0415289,1.0368189,0.22
1699,1.0337121,1.035991,0.186
1799,1.0338356,1.0343478,0.192
1899,1.0299044,1.0322448,0.216
1999,1.0306804,1.030708,0.244
2099,1.0304842,1.0313408,0.19
2199,1.030581,1.0291901,0.212
2299,1.026726,1.0264448,0.228
2399,1.0292189,1.0286213,0.194
2499,1.0272688,1.0270373,0.232
2599,1.0274764,1.0266112,0.222
2699,1.0280918,1.0273418,0.222
2799,1.0286297,1.0259362,0.214
2899,1.0246797,1.0259745,0.184
2999,1.0184348,1.0260671,0.198
3099,1.0258127,1.0265348,0.2
3199,1.0290655,1.0261436,0.204
3299,1.0221317,1.0257285,0.198
3399,1.026618,1.0228136,0.252
3499,1.0249059,1.0253078,0.176
3599,1.0247896,1.0251373,0.188
3699,1.0256898,1.0230948,0.178
3799,1.0243988,1.0237356,0.242
3899,1.0247418,1.024128,0.15
3999,1.0163,1.0228318,0.206
4099,1.0229034,1.0236351,0.21
4199,1.0234321,1.0239584,0.18
4299,1.0245974,1.023454,0.202
4399,1.0275809,1.019113,0.242
4499,1.0095489,1.0186077,0.238
4599,1.0213473,1.0194367,0.22
4699,1.0270221,1.0211555,0.198
4799,1.0222254,1.0231305,0.222
4899,1.0232861,1.0223027,0.222
4999,1.0202539,1.0206479,0.27
5099,1.0221875,1.0230443,0.188
5199,1.021649,1.0090741,0.226
5299,1.0209554,1.0229441,0.176
5399,1.0244875,1.0225823,0.194
5499,1.023189,1.0227307,0.198
5599,1.031472,1.0146022,0.244
5699,1.0212204,1.0225071,0.188
5799,1.0240624,1.0216432,0.202
5899,1.0236286,1.0205063,0.206
5999,1.0273812,1.0175802,0.256
6099,1.0227935,1.0217899,0.2
6199,1.0231001,1.02382,0.222
6299,1.0193598,1.0184523,0.238
6399,1.0195545,1.0201821,0.214
6499,1.0219752,1.0190967,0.234
6599,1.016446,1.0225253,0.184
6699,1.0209433,1.0229645,0.196
6799,1.0261265,1.024844,0.164
6899,1.0216473,1.0109074,0.242
6999,1.0205686,1.026686,0.146
7099,1.0264971,1.0213704,0.26
7199,1.0273075,1.018332,0.224
7299,1.02056,1.0120509,0.272
7399,1.0070306,1.0174555,0.262
7499,1.0225906,1.0197982,0.18
7599,1.0270754,1.0226744,0.11
7699,1.0217266,1.0159547,0.18
7799,1.0260708,1.0205102,0.256
7899,1.0163723,1.0240095,0.158
7999,1.0249238,1.0164471,0.244
8099,1.0126555,1.019144,0.216
8199,1.0135561,1.0212615,0.2
8299,1.0189723,1.0034311,0.216
8399,1.0149648,1.0205873,0.172
8499,1.0219126,1.0217024,0.206
8599,1.0158358,1.0200044,0.194
8699,0.9876505,1.0249212,0.17
8799,1.0407591,1.0204391,0.19
8899,1.0185602,1.0212737,0.196
8999,1.0296309,1.0222473,0.218
9099,1.0099596,1.0119267,0.28
9199,1.0063168,1.0164156,0.248
9299,0.9977617,1.0089886,0.226
9399,1.0177104,1.0225708,0.224
9499,1.0243351,1.0209955,0.238
9599,0.9782379,1.0150917,0.216
9699,0.9812789,0.98563457,0.226
9799,1.0065635,1.0230936,0.212
9899,1.0090253,1.0209043,0.24
9999,0.994171,1.018419,0.188
10099,1.0069139,1.0236152,0.21
10199,0.9975845,1.0171467,0.24
10299,0.96712464,0.98059374,0.236
10399,0.99430054,0.97669023,0.264
10499,0.9953531,1.0281298,0.266
10599,1.0141503,1.0214967,0.196
10699,1.0311457,0.939861,0.33
10799,1.0188538,0.9976851,0.228
10899,0.9769448,1.0242625,0.19
10999,1.0087345,0.96075666,0.286
11099,0.9827019,0.96365947,0.372
11199,1.001981,0.9965417,0.36
11299,1.0239952,0.9856953,0.228
11399,0.99083424,1.0049294,0.316
11499,1.0396717,1.0267317,0.21
11599,0.9666802,0.9918008,0.244
11699,0.9744085,1.0250175,0.204
11799,0.9773553,1.0315312,0.308
11899,0.9933268,1.0005692,0.204
11999,1.020632,0.93869126,0.402
12099,0.9667133,1.0241426,0.236
12199,0.9950222,0.9331392,0.374
12299,1.0222176,0.98698956,0.276
12399,1.0097191,1.0208589,0.212
12499,0.94645214,0.9409843,0.352
12599,0.93668365,0.9952922,0.278
12699,0.9858695,0.99682605,0.266
12799,0.9214221,0.97680885,0.292
12899,1.0256826,0.9489176,0.334
12999,0.97378445,1.001608,0.286
13099,0.96789455,0.9144546,0.376
13199,1.0023034,0.9249725,0.394
13299,0.9395174,0.9672881,0.296
13399,0.98556006,0.9911458,0.324
13499,0.99036324,1.0010957,0.266
13599,0.9547526,0.9615684,0.334
13699,0.95870703,0.9619649,0.342
13799,0.99232113,1.0272534,0.256
13899,1.0164785,0.9958191,0.284
13999,1.0220366,1.0125697,0.29
14099,1.0138737,0.9973321,0.278
14199,0.97023696,0.9803177,0.316
14299,0.92596245,1.0075405,0.272
14399,0.91608554,0.9455031,0.354
14499,0.99889123,1.0014259,0.278
14599,0.92862624,0.9622332,0.29
14699,1.02444,0.9207346,0.39
14799,0.9200575,0.95629233,0.302
14899,0.9208664,0.98789614,0.322
14999,1.004459,0.9285453,0.33
15099,1.0172875,1.0148782,0.22
15199,0.9686662,0.9617826,0.402
15299,0.9104964,1.0098569,0.286
15399,1.0215158,1.0019135,0.3
15499,0.95791566,1.0307494,0.248
15599,1.034108,0.93108755,0.404
15699,0.9433052,0.91272265,0.416
15799,1.0220731,0.9889436,0.314
15899,0.94108313,1.0137926,0.272
15999,0.9395107,1.005334,0.266
16099,0.9241744,1.023475,0.216
16199,0.94877875,0.9747103,0.314
16299,0.96146804,0.9421689,0.372
16399,1.0045583,1.0267087,0.23
16499,0.9810976,1.0059003,0.284
16599,0.9731286,0.99453783,0.3
16699,0.971866,0.9071108,0.374
16799,0.9505242,1.0201709,0.248
16899,0.99494535,0.9686617,0.294
16999,0.95345974,1.0017804,0.272
17099,0.9785303,1.0319939,0.218
17199,0.91360295,0.98279244,0.322
17299,0.9466758,0.98329616,0.292
17399,1.0188725,0.9998983,0.272
17499,0.94289076,1.0219313,0.24
17599,1.0176834,0.90923756,0.396
17699,0.9319582,0.894772,0.382
17799,1.0045148,0.9290401,0.342
17899,0.90582883,0.99587613,0.246
17999,1.0110543,0.95172554,0.35
18099,1.0212398,0.96651065,0.332
18199,1.0299877,1.024248,0.234
18299,0.977774,0.966318,0.276
18399,0.96642935,0.98745173,0.34
18499,0.91103,1.029549,0.212
18599,0.9430033,1.0183702,0.232
18699,0.9817842,1.016348,0.214
18799,0.98046696,0.99650985,0.312
18899,0.90597427,1.0328565,0.262
18999,1.0431769,0.95105815,0.322
19099,0.96702176,0.8943598,0.414
19199,0.9028198,0.98686206,0.31
19299,0.9411127,0.9905738,0.256
19399,0.9704939,1.0215406,0.256
19499,0.88375586,0.9965464,0.294
19599,0.93849945,1.0232404,0.248
19699,0.9824563,0.9637628,0.304
19799,0.91429615,0.9805083,0.296
19899,1.0205528,0.9535871,0.332
19999,1.011563,0.9830314,0.304
20099,0.9473311,0.92006904,0.414
20199,0.93480957,0.97112334,0.31
20299,0.9612921,0.92571425,0.35
20399,0.98564184,0.985238,0.262
20499,0.88701534,0.96524537,0.34
20599,0.9443011,0.92645955,0.304
20699,1.0083202,0.9858041,0.328
20799,0.9257967,0.9784416,0.294
20899,0.89067996,0.9470197,0.318
20999,0.91945535,0.9015574,0.376
21099,1.0043612,0.95827985,0.354
21199,0.99382955,0.94985455,0.342
21299,0.89982235,0.9928203,0.254
21399,0.94860667,0.98360556,0.264
21499,0.9330972,0.98458236,0.338
21599,0.9219103,0.90627456,0.396
21699,0.9616356,1.0200478,0.256
21799,0.9285987,0.993163,0.266
21899,0.9209736,1.008236,0.28
21999,0.9592037,0.9771698,0.276
22099,0.97180045,0.94343406,0.296
22199,1.040854,0.9948403,0.244
22299,0.90818703,0.95746577,0.32
22399,0.9156521,0.9619171,0.328
22499,1.0114588,0.9240213,0.35
22599,0.9675781,0.9261783,0.306
22699,0.9749721,1.0018419,0.344
22799,0.9818681,0.9400824,0.338
22899,1.0584242,0.9892775,0.286
22999,0.9636523,0.92296124,0.338
23099,0.8921407,0.9698745,0.334
23199,0.9296707,0.90347046,0.37
23299,0.99222815,0.92562175,0.372
23399,0.9260173,0.91171443,0.402
23499,0.9706646,0.9651199,0.3
23599,1.0487957,0.985715,0.272
23699,0.9531864,0.913441,0.35
23799,0.94364375,1.0079569,0.276
23899,0.9887662,0.9366208,0.33
23999,0.98554265,1.0356939,0.252
24099,0.9666599,0.95535904,0.308
24199,0.9443706,1.0042566,0.28
24299,0.955667,0.88536906,0.386
24399,0.91787064,0.96961284,0.312
24499,0.98419607,0.996202,0.226
24599,0.9098466,0.95014226,0.328
24699,0.95394456,0.89135873,0.388
24799,0.9570699,0.93115383,0.352
24899,0.94939137,0.9943239,0.252
24999,0.98143387,0.93982154,0.352
25099,0.90568703,1.0146563,0.236
25199,0.99249995,0.9252673,0.358
25299,0.96972907,0.91393006,0.356
25399,0.93848455,0.97136617,0.298
25499,0.90762967,1.0115238,0.236
25599,0.99262,0.87691504,0.432
25699,1.0390418,0.9960956,0.274
25799,0.98983383,1.003443,0.238
25899,0.991183,0.9767082,0.282
25999,0.9145905,0.92169243,0.348
26099,0.93968457,0.99035674,0.24
26199,0.90781516,0.9155488,0.368
26299,1.0020094,0.98984945,0.288
26399,1.025556,0.9862655,0.294
26499,1.0062536,0.9222503,0.338
26599,0.9504051,0.9482361,0.32
26699,0.998545,0.94806397,0.292
26799,0.97608644,0.94531506,0.346
26899,0.8860985,1.0001725,0.27
26999,1.0218751,0.9653252,0.364
27099,0.97916424,1.0185418,0.238
27199,0.9446789,0.8751112,0.422
27299,0.988564,1.0053724,0.276
27399,0.93048114,0.91440636,0.4
27499,0.99451953,1.0353374,0.244
27599,1.0216255,1.0069593,0.274
27699,0.9130024,1.004167,0.262
27799,0.97706425,0.9199494,0.382
27899,0.9664135,0.9558624,0.312
27999,0.9415644,0.95062405,0.35
28099,0.9099536,1.0236075,0.22
28199,0.8979955,1.0230852,0.26
28299,0.88381565,0.91861427,0.386
28399,0.90212107,0.9794034,0.336
28499,1.0187646,0.9794676,0.302
28599,0.93490946,1.0074706,0.244
28699,1.0002491,0.94774866,0.364
28799,1.0169681,0.9985281,0.258
28899,0.9732791,0.95580524,0.374
28999,1.0299383,1.0136112,0.246
29099,0.9460949,1.0021213,0.328
29199,0.94671285,1.002926,0.28
29299,0.88075626,0.97030735,0.314
29399,0.99821204,1.0255432,0.232
29499,0.9549691,0.97422713,0.33
29599,0.91004926,0.9856733,0.308
29699,1.0417659,0.9837238,0.28
29799,0.9219421,0.9609802,0.376
29899,0.9243185,0.93404126,0.324
29999,1.0473329,0.9582765,0.346
30099,0.90089494,1.0193105,0.278
30199,0.95159376,0.9523039,0.28
30299,0.93283176,0.96535456,0.296
30399,0.9282924,1.0328462,0.232
30499,0.9004849,0.93902767,0.346
30599,0.96188945,0.9889902,0.28
30699,0.9805021,0.9711795,0.338
30799,1.0200586,0.9733112,0.31
30899,0.89838135,0.89819735,0.372
30999,0.9446492,0.9903373,0.272
31099,1.0223547,1.0377717,0.174
31199,0.88723576,0.90809643,0.34
31299,0.98183405,0.92620224,0.344
31399,0.9874789,0.906658,0.358
31499,0.91593677,0.97166854,0.354
31599,0.9726656,0.9859744,0.312
