iter,train_loss,test_loss,acc
99,0.67721796,0.67486954,0.40333334
199,0.6681237,0.67149657,0.16
299,0.66926,0.6692538,0.41666666
399,0.6695555,0.67024,0.32333332
499,0.67760164,0.6701498,0.32
599,0.6703208,0.668527,0.34
699,0.67089367,0.66983664,0.3
799,0.6697057,0.6695038,0.33333334
899,0.66937023,0.6694555,0.32
999,0.6692508,0.66919816,0.62666667
1099,0.6627143,0.67471415,0.30333334
1199,0.66903716,0.6706793,0.33666667
1299,0.66926223,0.6683735,0.35666665
1399,0.67742187,0.6844873,0.34
1499,0.6693583,0.62355816,0.42
1599,0.66931754,0.66918015,0.29333332
1699,0.6696412,0.67295545,0.20333333
1799,0.6694906,0.6422407,0.42333335
1899,0.67892694,0.67112285,0.2
1999,0.67329437,0.644481,0.40333334
2099,0.67821074,0.68286955,0.23333333
2199,0.66951686,0.6691172,0.38333333
2299,0.6691232,0.6112526,0.44666666
2399,0.66769534,0.6716825,0.28666666
2499,0.5273648,0.67316556,0.30666667
2599,0.6697181,0.66888916,0.33333334
2699,0.6705802,0.6660245,0.33333334
2799,0.6313018,0.66793483,0.36
2899,0.6513009,0.6692883,0.32333332
2999,0.6186422,0.58796775,0.63666666
3099,0.75830215,0.67825663,0.33666667
3199,0.6739195,0.69547504,0.15333334
3299,0.68047124,0.6806954,0.29333332
3399,0.6600035,0.51970977,0.62666667
3499,0.68323094,0.6731005,0.18333334
3599,0.5631117,0.6559004,0.40666667
3699,0.65040344,0.66101,0.44666666
3799,0.68358964,0.6638614,0.43333334
3899,0.67257833,0.67743385,0.16333333
3999,0.67213255,0.43771598,0.68333334
4099,0.63829875,0.6738047,0.38333333
4199,0.6003857,0.6792329,0.29666665
4299,0.6702158,0.6698808,0.36
4399,0.50088763,0.6213129,0.33333334
4499,0.6383707,0.48195887,0.57666665
4599,0.60353404,0.57629675,0.5933333
4699,0.5448175,0.67735,0.32333332
4799,0.63171214,0.6846883,0.26666668
4899,0.6804463,0.6598911,0.31333333
4999,0.5551589,0.6631098,0.41666666
5099,0.70407766,0.64690965,0.42333335
5199,0.6893108,0.6747843,0.33
5299,0.5264862,0.6738847,0.21666667
5399,0.62507844,0.6792968,0.33666667
5499,0.43966258,0.6888962,0.38
5599,0.70345783,0.66085964,0.43
5699,0.62851167,0.4331742,0.6766667
5799,0.63453424,0.65243304,0.36666667
5899,0.6237121,0.6432868,0.44
5999,0.67543036,0.4445115,0.7733333
6099,0.647408,0.38172176,0.87666667
6199,0.68450135,0.6166446,0.49333334
6299,0.60765934,0.6608361,0.41333333
6399,0.64526093,0.6537576,0.38333333
6499,0.4095396,0.6904117,0.39
6599,0.61727697,0.6397783,0.44333333
6699,0.7216291,0.5353732,0.57
6799,0.56170243,0.51288605,0.6333333
6899,0.49019447,0.5768037,0.58
6999,0.60375303,0.6624995,0.46
7099,0.48044816,0.45914668,0.66333336
7199,0.46024147,0.55314916,0.61333334
7299,0.45366395,0.62642515,0.51
7399,0.47692204,0.70612216,0.37
7499,0.41654563,0.7047615,0.38666666
7599,0.45113,0.5959003,0.52666664
7699,0.6817567,0.48937103,0.64
7799,0.504499,0.5962834,0.56
7899,0.63537604,0.35541484,0.87666667
7999,0.5584498,0.69316286,0.36
8099,0.6838972,0.4923773,0.6566667
8199,0.678962,0.50829476,0.58
8299,0.4550388,0.6798971,0.41
