iter,train_loss,test_loss,acc
99,0.7646597,0.73719823,0.47666666
199,0.6956756,0.6913523,0.31666666
299,0.67772406,0.6764787,0.38333333
399,0.6732605,0.68582726,0.22333333
499,0.6857531,0.6782343,0.32666665
599,0.7034373,0.6026212,0.60333335
699,0.6564396,0.6760906,0.33333334
799,0.6014048,0.6655367,0.37
899,0.68978286,0.66401595,0.42
999,0.6766042,0.6584932,0.47333333
1099,0.5541131,0.6707199,0.38666666
1199,0.71777266,0.68042845,0.45666668
1299,0.5578928,0.64188474,0.55
1399,0.49080062,0.7192943,0.26
1499,0.5308277,0.5349828,0.49333334
1599,0.7411704,0.6737208,0.37
1699,0.6640093,0.6282948,0.52
1799,0.6711728,0.5607001,0.52666664
1899,0.54314727,0.5187543,0.55
1999,0.6598878,0.6184987,0.47
2099,0.55198073,0.55845934,0.69666666
2199,0.47479388,0.71771497,0.33666667
2299,0.5387324,0.5125488,0.58666664
2399,0.6559648,0.6582045,0.45666668
2499,0.4814836,0.55418205,0.5933333
2599,0.54279906,0.6643863,0.46666667
2699,0.61061907,0.54931986,0.5966667
2799,0.47548154,0.70266074,0.32333332
2899,0.6131928,0.58115125,0.51
2999,0.42539752,0.42605287,0.65
3099,0.7787302,0.57710344,0.55333334
3199,0.5482237,0.7056428,0.31
3299,0.49446714,0.56430393,0.5466667
3399,0.6384277,0.47907287,0.7
3499,0.38042867,0.5779536,0.52
3599,0.45498344,0.52646583,0.62666667
3699,0.6749425,0.7056461,0.33
3799,0.37653628,0.7062669,0.27333334
3899,0.50098705,0.5175873,0.69
3999,0.41574264,0.37365556,0.87333333
4099,0.43008992,0.5819378,0.5133333
4199,0.5929553,0.68992746,0.34333333
4299,0.4178783,0.43202937,0.70666665
4399,0.6244288,0.36335325,0.87333333
4499,0.72081345,0.43311355,0.85333335
4599,0.6162821,0.5542885,0.54333335
4699,0.4597466,0.66240436,0.43333334
4799,0.6705542,0.6842983,0.34
4899,0.6203766,0.5438893,0.5966667
4999,0.46503422,0.70128185,0.37333333
5099,0.6841906,0.6593942,0.5
5199,0.45635387,0.3478717,0.87666667
5299,0.5456311,0.40260467,0.75666666
5399,0.5874306,0.49712306,0.62333333
5499,0.4205031,0.6253343,0.46333334
5599,0.70972615,0.7197808,0.34
5699,0.3826597,0.38814232,0.8
5799,0.58470345,0.43107605,0.63666666
5899,0.51049095,0.5585535,0.56666666
5999,0.56866497,0.3815905,0.86
6099,0.39819065,0.35909292,0.9
6199,0.65362775,0.6344528,0.44666666
6299,0.6245321,0.6367914,0.42666668
6399,0.5557412,0.40650773,0.82666665
6499,0.4087244,0.70696306,0.38
6599,0.50378114,0.5209394,0.60333335
6699,0.62965685,0.5183523,0.61
6799,0.4893961,0.5432335,0.57
6899,0.42896304,0.58492535,0.52666664
6999,0.5179872,0.60824513,0.47666666
7099,0.4652674,0.44574118,0.68333334
7199,0.37891626,0.50119036,0.68666667
7299,0.44042945,0.57176226,0.5466667
7399,0.48713169,0.7195309,0.32666665
7499,0.41133285,0.7197618,0.39
7599,0.46802294,0.617326,0.5133333
7699,0.67505914,0.4440671,0.77
7799,0.4938418,0.5822617,0.58666664
7899,0.6745005,0.30822363,0.92
7999,0.5158928,0.667906,0.38
8099,0.66347736,0.50021917,0.64666665
8199,0.5570436,0.44572234,0.71
8299,0.4353397,0.7133548,0.39333335
8399,0.38083485,0.4350085,0.68
8499,0.528533,0.38084763,0.83
8599,0.6619838,0.37996677,0.8666667
8699,0.36608005,0.41489732,0.81
8799,0.49829137,0.41322476,0.78
8899,0.3827522,0.6691393,0.38666666
8999,0.5995117,0.4967942,0.63
9099,0.6553235,0.40034094,0.8
9199,0.48495197,0.4180028,0.79333335
9299,0.51434684,0.46011654,0.75333333
9399,0.57997334,0.5354935,0.6433333
9499,0.5189918,0.5881046,0.5466667
9599,0.5256903,0.40050521,0.81666666
9699,0.58599776,0.3997022,0.77666664
9799,0.4265236,0.5121033,0.63
9899,0.40171242,0.2709629,0.99
9999,0.5046636,0.75553113,0.28666666
10099,0.5664168,0.6461962,0.48333332
10199,0.43526316,0.6174667,0.52666664
10299,0.37993872,0.40700275,0.7733333
10399,0.6288364,0.5949962,0.49333334
10499,0.41571322,0.40933368,0.75666666
10599,0.68205947,0.48655522,0.6333333
10699,0.33151814,0.46036312,0.69
10799,0.59481335,0.53497094,0.61
10899,0.7246187,0.5329481,0.60333335
10999,0.32367733,0.4186012,0.76666665
11099,0.56204164,0.48834193,0.70666665
11199,0.4865135,0.3896363,0.8333333
11299,0.33945978,0.43988547,0.6433333
11399,0.3740469,0.4670755,0.6533333
11499,0.63436747,0.63622224,0.51
11599,0.4943947,0.4847569,0.68
11699,0.6220714,0.5591179,0.61
11799,0.7453084,0.48548594,0.6533333
11899,0.6883094,0.5816694,0.57
11999,0.5407911,0.60569173,0.48
12099,0.49008545,0.39029053,0.81
12199,0.5932544,0.38635537,0.82666665
12299,0.42194283,0.40026432,0.8
12399,0.4992855,0.4665613,0.67
12499,0.41450047,0.476311,0.7033333
12599,0.35397705,0.50256556,0.64
12699,0.27805194,0.70887566,0.39
12799,0.3397297,0.37418157,0.86
12899,0.3266628,0.68912417,0.36666667
12999,0.29222247,0.501002,0.56333333
13099,0.40984532,0.4747059,0.63
13199,0.5379227,0.61785156,0.53333336
13299,0.46970996,0.60102165,0.57666665
13399,0.4283129,0.38621882,0.74333334
13499,0.44344172,0.40030047,0.72333336
13599,0.745156,0.6250761,0.47666666
13699,0.40807426,0.42794424,0.75666666
13799,0.52604085,0.61018187,0.5133333
13899,0.33436003,0.42691955,0.73
13999,0.44180062,0.5752844,0.56333333
14099,0.40591994,0.42902383,0.72
14199,0.26680648,0.36766735,0.8566667
14299,0.40191355,0.43383485,0.73
14399,0.44375372,0.48238286,0.69
14499,0.42190012,0.40429974,0.81333333
14599,0.3850322,0.5674538,0.5933333
14699,0.6698728,0.52503294,0.62
14799,0.5475465,0.48699844,0.6766667
14899,0.45953655,0.31349432,0.91333336
14999,0.50932616,0.45662385,0.72
15099,0.52974445,0.41156167,0.82
15199,0.43008313,0.2882576,0.95666665
15299,0.4103986,0.4136567,0.7866667
15399,0.48606193,0.470492,0.73
15499,0.43145454,0.28087974,0.9533333
15599,0.2639373,0.419223,0.79333335
15699,0.3125837,0.43200418,0.7633333
15799,0.39904,0.28140086,0.95666665
15899,0.54909873,0.4097892,0.76666665
15999,0.5032739,0.31631514,0.93333334
16099,0.45923224,0.6816641,0.46
16199,0.63241225,0.3979822,0.7866667
16299,0.39861593,0.45460257,0.75
16399,0.455847,0.3289286,0.91333336
16499,0.36984918,0.3479324,0.87666667
16599,0.38659608,0.48685536,0.6766667
16699,0.28787363,0.6885092,0.44666666
16799,0.36278892,0.44137543,0.73333335
16899,0.35049543,0.26291382,0.98333335
16999,0.4053891,0.40561667,0.74666667
