iter,train_loss,test_loss,acc
99,0.7409792,0.7362624,0.33
199,0.70542884,0.68829143,0.33666667
299,0.6783685,0.6801837,0.24666667
399,0.6745047,0.6755217,0.35333332
499,0.67479295,0.67258704,0.35666665
599,0.67326325,0.67413145,0.33
699,0.66993827,0.6700521,0.41333333
799,0.670765,0.67124295,0.33333334
899,0.66920084,0.66980916,0.36666667
999,0.67079633,0.67007786,0.44
1099,0.6702819,0.6708819,0.33333334
1199,0.6680062,0.6686335,0.39
1299,0.67033917,0.67128265,0.32666665
1399,0.6734715,0.6705739,0.27
1499,0.67066497,0.67089313,0.33333334
1599,0.6763236,0.73090076,0.22666667
1699,0.49509025,0.44989964,0.6666667
1799,0.66918683,0.5431003,0.6566667
1899,0.617019,0.67683595,0.27666667
1999,0.59500957,0.7103235,0.33
2099,0.6645789,0.69745356,0.26666668
2199,0.61904454,0.613862,0.46
2299,0.66661745,0.6029416,0.47
2399,0.63293314,0.6394998,0.42666668
2499,0.5139905,0.517845,0.63
2599,0.5724157,0.6448009,0.5233333
2699,0.6735595,0.4535357,0.68
2799,0.50366485,0.58239967,0.55333334
2899,0.6000806,0.4735376,0.61
2999,0.4658788,0.4492782,0.62333333
3099,0.49410105,0.6249246,0.52
3199,0.6203721,0.45975098,0.67
3299,0.5972347,0.48859736,0.68666667
3399,0.42751896,0.6829546,0.40333334
3499,0.44141912,0.3467676,0.9066667
3599,0.51177484,0.46394098,0.68666667
3699,0.3948917,0.5925595,0.57666665
3799,0.54109055,0.59033626,0.5733333
3899,0.5036698,0.5353566,0.60333335
3999,0.4475694,0.6649685,0.41666666
4099,0.46984884,0.2934867,0.95666665
4199,0.35697928,0.41575968,0.66
4299,0.48798275,0.46490887,0.6333333
4399,0.7347409,0.44144562,0.68666667
4499,0.56244767,0.4875918,0.66333336
4599,0.3903385,0.45594293,0.73333335
4699,0.39796624,0.59627545,0.51666665
4799,0.64437383,0.59597206,0.5466667
4899,0.47731128,0.537491,0.6433333
4999,0.5651373,0.43838263,0.74
5099,0.36041677,0.42076883,0.73333335
5199,0.29560265,0.41552764,0.7866667
5299,0.3735439,0.4844333,0.74
5399,0.49468526,0.48007035,0.71666664
5499,0.6397904,0.38059574,0.84
5599,0.4604185,0.42853567,0.7733333
5699,0.53892165,0.5805217,0.62333333
5799,0.37343645,0.3750401,0.81
5899,0.3614609,0.50755465,0.6933333
5999,0.40044415,0.39057252,0.81
6099,0.2787064,0.5125866,0.65
6199,0.31554312,0.38945013,0.8333333
6299,0.3971541,0.37719077,0.83666664
6399,0.35326743,0.6470655,0.48
6499,0.4523022,0.45883214,0.67
6599,0.2819512,0.38532037,0.8066667
6699,0.49903485,0.39514044,0.8333333
6799,0.59390134,0.47830155,0.64666665
6899,0.3908219,0.52913785,0.62333333
6999,0.5053794,0.4068934,0.81333333
7099,0.25972873,0.60570663,0.5466667
7199,0.38222384,0.6287375,0.52666664
7299,0.3926879,0.3428601,0.87666667
7399,0.37121812,0.51273835,0.63
7499,0.5179932,0.5380646,0.6333333
7599,0.31265923,0.45368627,0.7266667
7699,0.31021687,0.45756775,0.73333335
7799,0.36009908,0.6732086,0.42333335
7899,0.6126147,0.39321843,0.82
7999,0.36366332,0.33726808,0.87333333
8099,0.2835938,0.6625031,0.46333334
8199,0.3688935,0.389534,0.8333333
8299,0.42604282,0.52804375,0.64
8399,0.6716561,0.4648347,0.68666667
8499,0.4019071,0.33955204,0.87
8599,0.4948894,0.35383528,0.87333333
8699,0.45118812,0.38527897,0.82
8799,0.43739995,0.30007967,0.93666667
8899,0.40162754,0.36620665,0.8466667
8999,0.40506518,0.6529304,0.49
9099,0.2617554,0.48377186,0.6766667
9199,0.6005494,0.3437051,0.8833333
9299,0.43305194,0.31608278,0.9166667
9399,0.4807714,0.4640641,0.7033333
9499,0.36277202,0.46379003,0.69
9599,0.34610716,0.5023323,0.66
9699,0.33674118,0.7050037,0.43
9799,0.38354924,0.53071713,0.63666666
9899,0.31436932,0.35602087,0.8433333
9999,0.40727374,0.37180462,0.8333333
10099,0.59914905,0.39355835,0.78333336
10199,0.32713673,0.4333112,0.77
10299,0.30971023,0.486884,0.71666664
10399,0.3705771,0.3033754,0.93333334
10499,0.41446757,0.39159998,0.8066667
10599,0.28062633,0.50534207,0.6666667
10699,0.3951144,0.42452583,0.75666666
10799,0.3823382,0.39957643,0.81333333
10899,0.45164123,0.5608404,0.5466667
10999,0.403272,0.47861716,0.69
11099,0.28082156,0.43880698,0.76
11199,0.32718912,0.381456,0.82666665
11299,0.44533038,0.28702617,0.9433333
11399,0.3618416,0.5541466,0.62666667
11499,0.37542012,0.4160713,0.79
11599,0.2868578,0.47984084,0.7033333
11699,0.36465678,0.727327,0.41333333
11799,0.4804236,0.3380109,0.89666665
11899,0.33727667,0.506811,0.69
11999,0.3262721,0.4574376,0.7266667
12099,0.31970033,0.34636915,0.86333334
12199,0.41753158,0.4259671,0.75333333
12299,0.25953183,0.3355163,0.89666665
12399,0.41983792,0.4654926,0.64
12499,0.577234,0.46074563,0.7366667
12599,0.2642977,0.4191093,0.77666664
12699,0.43743482,0.3805132,0.81333333
12799,0.4285587,0.44000605,0.71666664
12899,0.40894905,0.2714022,0.9633333
12999,0.3489488,0.6128354,0.5566667
13099,0.38637862,0.34405452,0.85
13199,0.47135708,0.48055238,0.68
13299,0.26088795,0.43476444,0.76666665
13399,0.30120453,0.28272516,0.95
13499,0.4222237,0.2547554,0.99
13599,0.27821234,0.31707045,0.91333336
13699,0.26545727,0.44592732,0.74
13799,0.37811407,0.54534024,0.62333333
13899,0.5106564,0.4523368,0.71
13999,0.63969225,0.37922344,0.83
14099,0.43218744,0.4163111,0.79333335
14199,0.5192012,0.4009885,0.79333335
14299,0.4494605,0.56732213,0.57
14399,0.49982986,0.32680723,0.87666667
14499,0.40728536,0.4043148,0.80333334
14599,0.43575922,0.2886655,0.9433333
