iter,train_loss,test_loss,acc
99,0.8640215,0.8614686,0.34
199,0.86262196,0.86250836,0.33333334
299,0.8626434,0.8625709,0.33333334
399,0.86257887,0.8625714,0.33333334
499,0.8625207,0.8625572,0.33333334
599,0.8613748,0.86269534,0.33333334
699,0.79905295,0.79907244,0.33333334
799,0.79888844,0.7989344,0.33333334
899,0.7986366,0.7989705,0.33333334
999,0.79901284,0.79895765,0.33333334
1099,0.79907924,0.79895765,0.33333334
1199,0.7990218,0.7989736,0.33333334
1299,0.7989482,0.79888445,0.33333334
1399,0.79170203,0.7992211,0.33333334
1499,0.79901034,0.79797685,0.33333334
1599,0.7989619,0.798975,0.33333334
1699,0.79903907,0.79900616,0.33333334
1799,0.7989022,0.7990566,0.33333334
1899,0.79923433,0.7990777,0.33333334
1999,0.79509234,0.79539126,0.33333334
2099,0.79502296,0.7949644,0.33333334
2199,0.79479164,0.7949918,0.33333334
2299,0.7954087,0.7884443,0.33333334
2399,0.7949333,0.79494524,0.33333334
2499,0.7984589,0.7991997,0.33333334
2599,0.7951813,0.7950873,0.33333334
2699,0.79534405,0.7948652,0.33333334
2799,0.7886117,0.7948285,0.33333334
2899,0.79313046,0.7950065,0.33333334
2999,0.7951062,0.7942871,0.33333334
3099,0.7955714,0.7954556,0.33333334
3199,0.8014677,0.79371417,0.33333334
3299,0.83318967,0.79754007,0.33333334
3399,0.77500314,0.7544529,0.33333334
3499,0.808158,0.79540324,0.33333334
3599,0.77893513,0.7880112,0.27
3699,0.77186364,0.7955115,0.33333334
3799,0.7585986,0.7682351,0.33333334
3899,0.768428,0.77116483,0.39333335
3999,0.7656773,0.6542967,0.33333334
4099,0.7117683,0.7745331,0.34333333
4199,0.78978014,0.7830058,0.29666665
4299,0.6789673,0.64832425,0.62333333
4399,0.70897573,0.7709605,0.33
4499,0.7318166,0.6707577,0.6066667
4599,0.72662973,0.71177197,0.36666667
4699,0.7465632,0.70725477,0.5366667
4799,0.7437985,0.77081805,0.17666666
4899,0.7572417,0.7734751,0.25
4999,0.79425097,0.7629691,0.35
5099,0.8034486,0.76574606,0.37
5199,0.7635432,0.75398654,0.29333332
5299,0.7201596,0.7056503,0.34666666
5399,0.76218647,0.7997809,0.28666666
5499,0.6589238,0.7931666,0.38333333
5599,0.7414837,0.7606277,0.32333332
5699,0.7727914,0.7026377,0.5133333
5799,0.7995546,0.7291573,0.33333334
5899,0.726707,0.7558423,0.41666666
5999,0.7426887,0.74552584,0.37666667
6099,0.775359,0.550574,0.88
6199,0.75454354,0.67001164,0.56333333
6299,0.78663427,0.76947093,0.29333332
6399,0.7410739,0.77440125,0.28
6499,0.6117904,0.76262784,0.36666667
6599,0.7556769,0.7801233,0.28333333
6699,0.6703122,0.74960977,0.48666668
6799,0.7232507,0.72403234,0.42666668
6899,0.62350863,0.7403908,0.34333333
6999,0.80620176,0.7672287,0.39666668
7099,0.7021887,0.7239504,0.34
7199,0.68790084,0.78412575,0.29
7299,0.7194641,0.76400816,0.39333335
7399,0.746018,0.78215843,0.18333334
7499,0.64115244,0.77699846,0.35666665
7599,0.6047991,0.7623789,0.34666666
7699,0.7613972,0.76540935,0.16
7799,0.6428217,0.7555516,0.40333334
7899,0.777998,0.743885,0.24666667
7999,0.6449664,0.7734966,0.4
8099,0.78950673,0.72455096,0.49666667
8199,0.744031,0.66883487,0.52
8299,0.7525604,0.7240689,0.48666668
8399,0.682664,0.6422146,0.6566667
8499,0.7793849,0.60256135,0.67
