iter,train_loss,test_loss,acc
99,0.7590857,0.75520235,0.33333334
199,0.7276344,0.73024523,0.33333334
299,0.7270238,0.7263453,0.33333334
399,0.726613,0.7218915,0.33333334
499,0.7214553,0.7212748,0.33333334
599,0.72195596,0.7207219,0.33333334
699,0.72121596,0.7213335,0.33333334
799,0.7209144,0.7213549,0.33333334
899,0.72100806,0.7212202,0.33333334
999,0.7208902,0.72133356,0.33333334
1099,0.717763,0.72548264,0.33333334
1199,0.7215132,0.7372911,0.33333334
1299,0.7209973,0.7210162,0.33333334
1399,0.72115517,0.6856667,0.33333334
1499,0.7208112,0.67035544,0.33333334
1599,0.6986778,0.72125757,0.33333334
1699,0.7225177,0.7191136,0.33333334
1799,0.7268658,0.72562075,0.33333334
1899,0.69077104,0.7263598,0.33333334
1999,0.7210582,0.7193869,0.33333334
2099,0.6937225,0.73436403,0.33333334
2199,0.7211697,0.72434115,0.33
2299,0.6612193,0.7127524,0.37333333
2399,0.7176606,0.72247213,0.33333334
2499,0.62524086,0.69557035,0.53
2599,0.6948828,0.72107714,0.20666666
2699,0.69246364,0.71189725,0.43666667
2799,0.7162487,0.6648391,0.44333333
2899,0.7066924,0.7195055,0.31333333
2999,0.6984466,0.7102861,0.38666666
3099,0.5869908,0.583043,0.66
3199,0.62240833,0.6842024,0.30666667
3299,0.6953848,0.71642756,0.39
3399,0.6876826,0.6850914,0.33333334
3499,0.7497985,0.6163304,0.6166667
3599,0.74042314,0.70331633,0.31666666
3699,0.7286157,0.68939686,0.32333332
3799,0.6710105,0.7046887,0.31333333
3899,0.625256,0.5893796,0.6566667
3999,0.704971,0.6339096,0.45
4099,0.72061944,0.67037106,0.4
4199,0.5894084,0.6951813,0.36333334
4299,0.6615011,0.6795755,0.33333334
4399,0.62735075,0.6487726,0.34666666
4499,0.63688546,0.6162888,0.6433333
4599,0.65822023,0.69954747,0.33
4699,0.5999275,0.64125055,0.56
4799,0.6475714,0.7380078,0.36
4899,0.6233415,0.7269489,0.26
4999,0.7015411,0.64407283,0.57666665
5099,0.68920374,0.66345096,0.36
5199,0.69022536,0.7322019,0.31666666
5299,0.62035936,0.67302597,0.5466667
5399,0.6229516,0.700873,0.34666666
5499,0.70259136,0.62856805,0.56333333
5599,0.7157078,0.6255593,0.33
5699,0.6712663,0.60728854,0.49333334
5799,0.60958916,0.71219355,0.33333334
5899,0.6093636,0.6604875,0.56333333
5999,0.7383198,0.7336526,0.31333333
6099,0.7018252,0.62456965,0.43666667
6199,0.6549607,0.6430499,0.42666668
6299,0.713377,0.60100514,0.62333333
6399,0.6337306,0.687079,0.35333332
6499,0.62827116,0.65930855,0.48
6599,0.63971597,0.6422131,0.35666665
6699,0.70650524,0.7221806,0.33
6799,0.6426767,0.6293218,0.48
6899,0.70397884,0.70602906,0.32
6999,0.6651325,0.6334146,0.54
7099,0.65010524,0.6765218,0.49333334
7199,0.6104378,0.63426524,0.49
7299,0.64738095,0.7464264,0.36
7399,0.63738555,0.6749596,0.45666668
7499,0.6776231,0.60237384,0.6333333
7599,0.6169569,0.67474633,0.40333334
7699,0.5678999,0.60323644,0.64666665
7799,0.6744926,0.6266915,0.44333333
7899,0.70949966,0.7136788,0.37
7999,0.6777417,0.6468295,0.47333333
8099,0.62315506,0.6822535,0.45666668
8199,0.5879019,0.71191967,0.43666667
8299,0.7012224,0.6168401,0.61333334
8399,0.5303884,0.60585266,0.45666668
8499,0.62964326,0.69443846,0.48666668
8599,0.7378916,0.6227312,0.56333333
8699,0.6065549,0.61863416,0.51666665
8799,0.6368653,0.66970265,0.47666666
8899,0.60720354,0.7002983,0.39
8999,0.5931292,0.64669615,0.43333334
9099,0.5912208,0.7219706,0.34666666
9199,0.70385003,0.7075093,0.35333332
9299,0.61319804,0.64993745,0.45333335
9399,0.65519667,0.69957906,0.43
9499,0.6422283,0.5832546,0.62333333
9599,0.6568889,0.62632716,0.43
9699,0.63368434,0.6592455,0.5133333
9799,0.5997146,0.5647618,0.65
9899,0.73822945,0.6437692,0.45333335
9999,0.71245736,0.7037044,0.40666667
10099,0.70293826,0.6018363,0.51666665
10199,0.74112225,0.6267211,0.50333333
10299,0.7242241,0.59254664,0.65
10399,0.6160293,0.5689401,0.66333336
10499,0.6366697,0.64859116,0.49
10599,0.56571084,0.73333204,0.33
10699,0.7096665,0.6921159,0.29333332
10799,0.55879116,0.62469035,0.59
10899,0.590915,0.7185659,0.39333335
10999,0.6628568,0.6133244,0.5966667
11099,0.58686954,0.5990513,0.56
11199,0.70091486,0.7304811,0.4
11299,0.61418766,0.6844009,0.47666666
11399,0.6194187,0.62903553,0.52
11499,0.6668065,0.7429641,0.28333333
11599,0.71688575,0.6853008,0.43
11699,0.6352319,0.70119995,0.36333334
11799,0.6620076,0.6366009,0.5466667
11899,0.61414397,0.66762465,0.48666668
11999,0.69348687,0.6092178,0.64
12099,0.67370313,0.5559238,0.53333336
12199,0.71203345,0.61900437,0.57
12299,0.61903983,0.650001,0.52
12399,0.63976973,0.70692223,0.36333334
12499,0.65851873,0.58077127,0.58
12599,0.6882894,0.6542225,0.53333336
12699,0.6489613,0.6398481,0.5466667
12799,0.56090826,0.60856956,0.55333334
12899,0.5728412,0.6363744,0.47
12999,0.7228777,0.65098554,0.54333335
13099,0.5361385,0.6299251,0.61
13199,0.5152533,0.74277043,0.35666665
13299,0.67334294,0.5279252,0.63666666
13399,0.53544354,0.7332472,0.34333333
13499,0.61466503,0.600692,0.62333333
13599,0.6174267,0.6687206,0.41
