iter,train_loss,test_loss,acc
99,0.9333628,0.91141874,0.35333332
199,0.7357399,0.7398266,0.40333334
299,0.7248244,0.7233194,0.34333333
399,0.72373885,0.72678065,0.29
499,0.7288589,0.7268715,0.30333334
599,0.73026294,0.72763807,0.31333333
699,0.7199281,0.7224752,0.38333333
799,0.7318966,0.72104317,0.47333333
899,0.7248456,0.72231627,0.3
999,0.72131044,0.7204055,0.50333333
1099,0.72712946,0.73446566,0.23333333
1199,0.7267658,0.7519321,0.21333334
1299,0.72762007,0.68358177,0.53333336
1399,0.71568793,0.72927713,0.26666668
1499,0.7216274,0.7157967,0.36666667
1599,0.72138166,0.72275275,0.36333334
1699,0.72335845,0.72331154,0.26666668
1799,0.72104436,0.72034,0.54
1899,0.7326097,0.72359735,0.093333334
1999,0.71372724,0.6956525,0.45
2099,0.73983175,0.7686939,0.20333333
2199,0.7217159,0.7213683,0.27666667
2299,0.71963215,0.69300616,0.5
2399,0.71046287,0.73502165,0.26
2499,0.538782,0.72015744,0.35
2599,0.7225483,0.72176,0.32333332
2699,0.6982174,0.72598577,0.29666665
2799,0.7064974,0.7199156,0.30666667
2899,0.7154565,0.71941304,0.33666667
2999,0.681506,0.56654215,0.67333335
3099,0.73905563,0.7289087,0.39333335
3199,0.686424,0.7356157,0.31
3299,0.72327924,0.7166176,0.32666665
3399,0.7041142,0.51998913,0.7866667
3499,0.7222576,0.71982545,0.34666666
3599,0.600254,0.68894076,0.42666668
3699,0.70812225,0.7149239,0.46333334
3799,0.6947047,0.73293406,0.30666667
3899,0.66297764,0.67987,0.56333333
3999,0.6478755,0.5073826,0.76
4099,0.6749697,0.70664686,0.44666666
4199,0.74469143,0.73334765,0.35
4299,0.61995405,0.6011974,0.66333336
4399,0.5905688,0.63404447,0.59
4499,0.7280918,0.56112444,0.6433333
4599,0.69682604,0.6353761,0.5466667
4699,0.657532,0.68876034,0.41333333
4799,0.7292889,0.7434229,0.34
4899,0.7023013,0.600436,0.69666666
4999,0.5990673,0.71680266,0.39
5099,0.75012094,0.69965696,0.43666667
5199,0.57281405,0.54981583,0.69666666
5299,0.6296408,0.56488514,0.67333335
5399,0.7289426,0.65618384,0.51
5499,0.5790558,0.7270509,0.40666667
5599,0.7251641,0.7352983,0.37666667
5699,0.62590235,0.5541408,0.64
5799,0.70914763,0.5894803,0.62666667
5899,0.6569276,0.70430696,0.42333335
5999,0.7227729,0.6281026,0.50333333
6099,0.5976749,0.5460734,0.77
6199,0.6563969,0.66635746,0.5566667
6299,0.75499254,0.66328573,0.51
6399,0.6123261,0.5775193,0.68
6499,0.5283727,0.71103525,0.40666667
6599,0.65091306,0.67530334,0.47333333
6699,0.69085294,0.6138055,0.53333336
6799,0.63084835,0.6006655,0.61333334
6899,0.61559373,0.6802352,0.44333333
6999,0.63722205,0.6411284,0.52666664
7099,0.58664066,0.5489365,0.67
7199,0.5861982,0.6130388,0.6166667
7299,0.6145397,0.6655337,0.49333334
7399,0.66502696,0.69713634,0.44666666
7499,0.50285167,0.66060585,0.50666666
7599,0.52842027,0.67800343,0.46333334
7699,0.76212186,0.5968519,0.62666667
7799,0.55548894,0.65165365,0.56666666
7899,0.6812113,0.4852709,0.88666666
7999,0.6179556,0.73907495,0.37333333
8099,0.6970704,0.5854438,0.61333334
8199,0.7227974,0.5412645,0.79
8299,0.53434944,0.7093867,0.42666668
8399,0.5361543,0.5498728,0.62666667
8499,0.53687525,0.5116489,0.7366667
8599,0.6588485,0.51049584,0.83666664
8699,0.50621396,0.4906431,0.81
