iter,train_loss,test_loss,acc
99,1.0127778,1.0251712,0.235
199,0.9526442,0.95466894,0.24
299,0.9449707,0.95011556,0.2875
399,0.93809336,0.9377972,0.42
499,0.93658817,0.93166757,0.2975
599,0.9558177,0.9360651,0.1925
699,0.9367627,0.9348881,0.2325
799,0.9350775,0.93573576,0.25
899,0.93264604,0.93334657,0.23
999,0.93358386,0.9346572,0.1875
1099,0.9350534,0.93478316,0.2125
1199,0.9343017,0.9343129,0.3425
1299,0.9352401,0.9340546,0.3225
1399,0.93456024,0.93425214,0.255
1499,0.95970225,0.9384859,0.235
1599,0.93176496,0.92321634,0.2275
1699,0.9324384,0.93472946,0.2625
1799,0.9378202,0.94688964,0.3075
1899,0.93421566,0.9344368,0.25
1999,0.934744,0.93384033,0.2825
2099,0.95837504,0.93495506,0.2825
2199,0.92979765,0.9300866,0.2225
2299,0.9370723,0.93262845,0.365
2399,0.9346617,0.93026143,0.2425
2499,0.93115723,0.9330777,0.2525
2599,0.92578304,0.94017756,0.2
2699,0.93281543,0.9338002,0.23
2799,0.93406904,0.9314743,0.1875
2899,0.91986966,0.924182,0.205
2999,0.9358116,0.9355196,0.225
3099,0.9101912,0.7948965,0.5525
3199,0.9540993,0.9419924,0.295
3299,0.9291471,0.8829473,0.285
3399,0.9209155,0.88168883,0.26
3499,0.8440183,0.9372986,0.275
3599,0.9343977,0.846016,0.3575
3699,0.9289157,0.93071157,0.2325
3799,0.9016284,0.88428116,0.545
3899,0.9060037,0.92073065,0.3475
3999,0.86802125,0.88068116,0.2625
4099,0.81526744,0.8905939,0.2425
4199,0.8497267,0.76682734,0.5825
4299,0.8168571,0.91035485,0.3525
4399,0.7722739,0.8884195,0.375
4499,0.85067433,0.86066985,0.4475
4599,0.84175146,0.95895964,0.2425
4699,0.8778912,0.91698205,0.36
4799,0.8919751,0.90034425,0.3725
4899,0.92262995,0.8543731,0.5325
4999,0.92506814,0.9176831,0.3325
5099,0.9003953,0.8061945,0.2725
5199,0.9117553,0.8218412,0.42
5299,0.91381246,0.89157206,0.35
5399,0.8892961,0.86418945,0.2225
5499,0.83655655,0.81561655,0.275
5599,0.8674345,0.83361566,0.31
5699,0.8575858,0.79884475,0.425
5799,0.83065426,0.805982,0.52
5899,0.9006239,0.72292763,0.4775
5999,0.72467196,0.90722346,0.2225
6099,0.8557223,0.7769081,0.3125
6199,0.91325927,0.8419193,0.3075
6299,0.8890914,0.9092952,0.2925
6399,0.78666055,0.8208025,0.4825
6499,0.8674744,0.84987617,0.295
6599,0.75897145,0.78872484,0.365
6699,0.85212576,0.7873429,0.4575
6799,0.7717716,0.8445364,0.355
6899,0.7588249,0.8569459,0.4
6999,0.7594621,0.8374469,0.3725
