iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
iter,train_loss,test_loss,acc
99,1.2004302,1.2116401,0.186
199,1.1138525,1.1116624,0.15
299,1.0792545,1.0760568,0.19
399,1.0540369,1.064738,0.166
499,1.0488575,1.0509772,0.22
599,1.045805,1.0480105,0.188
699,1.0410122,1.0451814,0.21
799,1.0375524,1.0430795,0.246
899,1.0443852,1.040916,0.212
999,1.0418396,1.0409162,0.196
1099,1.0389359,1.0403285,0.148
1199,1.0251472,1.031469,0.254
1299,1.0398686,1.038846,0.166
1399,1.0398751,1.0400076,0.166
1499,1.0389581,1.0353682,0.232
1599,1.0385554,1.0383015,0.186
1699,1.0369499,1.0237064,0.296
1799,1.0349989,1.0341808,0.17
1899,1.0382572,1.0382019,0.238
1999,1.028652,1.0370069,0.29
2099,1.0389378,1.0367361,0.104
2199,1.0305464,1.0395117,0.198
2299,1.0295446,1.0199846,0.22
2399,1.0415884,1.0353098,0.196
2499,1.0365896,1.0341821,0.178
2599,0.98347676,1.050228,0.11
2699,1.044728,1.0203089,0.248
2799,1.0521096,1.0340717,0.228
2899,1.0359596,1.0133306,0.288
2999,1.0018609,1.0118543,0.278
3099,1.015099,1.0129968,0.214
3199,0.96605045,1.0315987,0.234
3299,1.0098481,1.0376294,0.22
3399,1.0139868,1.0179656,0.194
3499,1.0438904,1.0473988,0.196
3599,0.9221729,0.90788496,0.446
3699,1.0091312,1.0029702,0.202
3799,1.0538938,1.0217899,0.232
3899,1.0307071,1.0180396,0.276
3999,1.01636,1.0038768,0.212
4099,1.0086243,1.0210652,0.316
4199,1.0306718,1.0143089,0.22
4299,0.9170265,0.97665167,0.352
4399,0.98423386,0.990576,0.312
4499,0.88206613,1.0031601,0.308
4599,0.9223093,0.9683765,0.33
4699,0.95414656,0.991688,0.354
4799,0.95996606,1.0522996,0.31
4899,0.99533665,0.9538909,0.266
4999,0.9438923,0.9900384,0.308
5099,1.0435505,1.0115603,0.314
5199,0.9422553,0.8640834,0.412
5299,0.93111116,0.96391904,0.434
5399,0.94862926,1.0401037,0.23
5499,0.95245695,0.9469875,0.396
5599,0.9141989,0.9723774,0.342
5699,0.9463657,1.019077,0.294
5799,1.0450312,0.9211645,0.348
5899,1.0164821,0.9930361,0.302
5999,1.0170132,1.0103372,0.264
6099,1.081041,1.0255556,0.284
6199,0.9786316,1.0190109,0.304
6299,0.9488276,1.0228472,0.238
6399,0.91866285,0.960746,0.31
6499,0.98258764,0.96141917,0.414
6599,0.9728072,0.97703516,0.296
6699,0.9944397,0.9752987,0.308
6799,0.937322,1.0439721,0.186
6899,0.9942173,0.96193343,0.314
6999,0.98806685,0.9502192,0.42
7099,0.9007853,0.94600683,0.3
7199,1.0151911,0.9797048,0.3
7299,1.030852,0.9430492,0.266
7399,0.91904134,1.0100344,0.282
7499,0.964441,0.9720689,0.248
7599,1.0124412,1.0344841,0.342
7699,1.0615032,0.9337655,0.428
7799,0.95926255,0.980031,0.328
7899,0.9728757,0.9877466,0.31
7999,0.95747185,1.0319374,0.178
8099,0.95949996,0.9668435,0.32
8199,0.8973881,0.94450015,0.358
8299,0.96441305,0.8905522,0.282
8399,0.9547812,1.0027235,0.354
8499,1.0516636,0.94198686,0.366
8599,0.9621193,1.0382583,0.238
8699,0.916568,1.0277522,0.302
8799,0.9911691,0.9549817,0.404
8899,0.984378,1.0501679,0.264
8999,1.0729678,1.0059918,0.27
9099,0.8831328,0.92624086,0.368
9199,0.97857744,1.0026529,0.288
9299,0.9308716,0.88850427,0.296
9399,0.93548566,1.0349369,0.228
9499,0.8691462,1.0558076,0.2
9599,0.88332736,1.0122738,0.302
9699,0.9614018,0.9328443,0.328
9799,0.9513752,1.0364106,0.274
9899,1.0021048,1.0060948,0.252
9999,0.8905039,0.97113496,0.338
10099,0.9231224,0.995379,0.314
10199,0.9952177,1.017141,0.3
10299,0.9052229,0.9082276,0.34
10399,0.9971692,0.9227485,0.28
10499,0.92991436,1.0232764,0.344
10599,0.93455887,0.92179537,0.348
10699,0.9876963,0.9134384,0.476
10799,0.9613193,0.89948803,0.474
10899,0.8709366,0.9192026,0.412
10999,0.97278833,0.9070491,0.32
11099,0.92567825,0.9048674,0.288
11199,0.98720396,0.9645496,0.356
11299,1.0355661,0.90293163,0.298
11399,0.90343684,0.95905215,0.344
11499,1.0214322,1.0255845,0.318
11599,0.8508522,0.9096879,0.362
11699,0.86234605,1.0231106,0.242
11799,0.8763323,1.0610944,0.354
11899,0.93082684,0.95078754,0.38
11999,1.008075,0.9169786,0.364
12099,0.8512047,0.9775925,0.318
12199,0.9854139,0.83035606,0.438
12299,1.0220251,0.9697036,0.382
12399,0.976972,0.94553286,0.384
12499,0.88838357,0.86605066,0.528
12599,0.8188612,0.92293644,0.342
12699,0.9454371,0.9796393,0.282
12799,0.8583976,0.97737426,0.346
12899,1.0117266,0.87964636,0.402
12999,0.93426627,0.93203694,0.404
13099,0.91786814,0.8522984,0.402
13199,0.9290029,0.8764237,0.428
13299,0.8677624,0.91470605,0.39
13399,0.92229855,0.9904232,0.282
13499,0.9482983,0.9842795,0.316
13599,0.91550386,0.8422981,0.466
13699,0.8356908,0.90864897,0.366
13799,1.0147054,0.944574,0.4
13899,0.93687093,0.86801547,0.5
13999,1.06476,0.9781011,0.268
14099,0.9839727,1.0205783,0.294
14199,0.92350566,0.90791154,0.42
14299,0.857457,0.91515404,0.44
14399,0.8516852,0.8900111,0.382
14499,0.9049716,0.99141103,0.31
14599,0.87476313,0.89483047,0.428
14699,0.9384831,0.8492041,0.4
14799,0.8520201,0.8871794,0.392
14899,0.8581656,0.9351196,0.366
14999,0.96573544,0.8430932,0.466
15099,0.8786767,0.89282006,0.438
15199,0.8703977,0.93203115,0.418
15299,0.87111866,0.89029264,0.44
15399,0.988814,0.9252052,0.412
15499,0.944205,0.90200025,0.388
15599,0.9142331,0.7132158,0.638
15699,0.81715333,0.8911699,0.418
15799,0.81180084,0.94095063,0.338
15899,0.7091244,0.8719023,0.464
15999,0.9020361,0.8498432,0.488
16099,0.84296095,0.92256486,0.378
16199,0.7874201,0.8553418,0.474
16299,0.8391964,0.8352978,0.474
16399,0.72328556,0.8832289,0.384
16499,0.8849826,0.991445,0.318
16599,0.84232485,1.0306826,0.266
16699,0.86928463,0.8391945,0.464
16799,0.82542646,0.98711985,0.34
16899,0.7525772,0.8502179,0.5
16999,0.87754476,0.8700136,0.424
17099,0.8886366,0.97174734,0.36
17199,0.84964687,0.82276326,0.476
17299,0.7045232,0.84250444,0.502
17399,0.9433654,0.86979973,0.458
17499,0.755687,0.8329297,0.442
17599,0.9029004,0.83168703,0.542
17699,0.73603594,0.7874466,0.536
17799,1.0076644,0.85141194,0.424
17899,0.76801234,0.7975347,0.548
17999,0.83336055,0.85888344,0.438
18099,1.0066895,0.78048635,0.616
18199,1.0392197,0.8725542,0.428
18299,0.7622675,0.90791386,0.406
18399,0.73849833,0.80243087,0.556
18499,0.7104206,1.0370796,0.264
18599,0.6744142,0.9330753,0.422
18699,0.7904156,0.8677488,0.426
18799,0.8871113,0.7664665,0.54
18899,0.85559815,0.8601162,0.454
18999,0.97086704,0.98308045,0.332
19099,0.83433807,0.75799507,0.598
19199,0.81912535,0.85512054,0.48
19299,0.8736595,0.89077175,0.402
19399,0.86370754,0.9516443,0.374
19499,0.76498127,0.7502065,0.562
19599,0.82390213,0.8331375,0.452
19699,0.7444289,0.8578081,0.45
19799,0.67708814,0.77187455,0.634
19899,0.95257264,0.9579434,0.33
19999,0.7756168,0.8646095,0.488
20099,0.6895274,0.83232266,0.46
20199,0.9357475,0.9274972,0.394
20299,0.9064891,0.6983929,0.638
20399,0.78464746,0.78029794,0.572
20499,0.8636072,0.8314359,0.492
20599,0.8708035,0.86891675,0.442
20699,0.8683155,0.8132909,0.542
20799,0.8137597,0.9256709,0.406
20899,0.76259124,0.8524426,0.496
20999,0.8736286,0.8295505,0.5
21099,0.8488367,0.82922983,0.468
21199,0.77678174,0.8024635,0.538
21299,0.68582463,0.90411156,0.45
21399,0.7229269,0.8371772,0.472
21499,0.8194912,0.94839334,0.374
21599,0.7626893,0.97014344,0.354
21699,0.7710933,0.89230615,0.432
21799,0.7625353,0.86916673,0.452
21899,0.6799873,0.74866223,0.604
21999,0.82273465,0.8799288,0.456
22099,0.8745907,0.74396217,0.602
22199,0.979596,1.0109885,0.316
22299,0.7720724,0.7485045,0.56
22399,0.6954464,0.9504008,0.34
22499,0.74594975,0.9001986,0.406
22599,0.98564833,0.72793746,0.594
22699,0.7150656,0.92749596,0.416
22799,0.84480906,0.93502843,0.344
22899,0.8406504,0.7967188,0.478
22999,0.78917134,0.81221104,0.44
23099,0.7329214,0.7669318,0.566
23199,0.7651974,0.75833887,0.524
23299,0.81234723,0.70796424,0.656
23399,0.7149266,0.6625782,0.722
23499,0.7604302,0.92477137,0.462
23599,0.7728879,0.9483078,0.39
23699,0.7893187,0.86021894,0.446
23799,0.734686,0.8276686,0.482
23899,0.88231385,0.88252854,0.452
23999,0.7415137,0.82306147,0.5
24099,0.82963735,0.825168,0.564
24199,0.81129235,0.87793064,0.458
24299,0.8648769,0.7293545,0.612
24399,0.76289684,0.87569505,0.442
24499,0.7767644,0.7087264,0.642
24599,0.6910855,0.8669181,0.442
24699,0.7018591,0.8606854,0.486
24799,0.8400564,0.9361375,0.4
24899,0.88116914,0.888183,0.434
24999,0.80097723,0.8089699,0.496
