iter,train_loss,test_loss,acc
99,1.4628187,1.4683775,0.228
199,1.3576977,1.3535062,0.22
299,1.2529296,1.2483076,0.182
399,1.1673894,1.1660441,0.196
499,1.12415,1.1212656,0.192
599,1.0951252,1.0895435,0.206
699,1.0720832,1.0755212,0.202
799,1.0626004,1.062653,0.212
899,1.0586727,1.0563669,0.19
999,1.0518448,1.050228,0.212
1099,1.0393895,1.0471262,0.22
1199,1.0407331,1.0434417,0.202
1299,1.0422723,1.0395496,0.244
1399,1.0418717,1.0400149,0.178
1499,1.0381589,1.037473,0.182
1599,1.0399663,1.0328057,0.22
1699,1.03787,1.0355592,0.204
1799,1.0316423,1.0338624,0.192
1899,1.0278286,1.0326989,0.206
1999,1.0328882,1.0319837,0.196
2099,1.0344498,1.0319221,0.198
2199,1.0279548,1.0291425,0.238
2299,1.0324264,1.0302045,0.186
2399,1.0295981,1.0280899,0.272
2499,1.0277075,1.0291142,0.192
2599,1.0283551,1.0281966,0.19
2699,1.0279505,1.0283926,0.204
2799,1.0263094,1.0266283,0.18
2899,1.025747,1.0262159,0.22
2999,1.0263579,1.0264447,0.212
3099,1.0267332,1.0262839,0.214
3199,1.0268255,1.0245996,0.232
3299,1.0278194,1.0260121,0.192
3399,1.025281,1.0252362,0.238
3499,1.0230291,1.0259519,0.186
3599,1.0269891,1.0243218,0.23
3699,1.0241624,1.0245618,0.194
3799,1.0249863,1.0249584,0.192
3899,1.0248855,1.0246482,0.198
3999,1.0238276,1.0247524,0.182
4099,1.0255476,1.02407,0.192
4199,1.023494,1.0235919,0.196
4299,1.0232984,1.024029,0.18
4399,1.0212264,1.024298,0.176
4499,1.0204622,1.0230718,0.218
4599,1.0227818,1.0233583,0.186
4699,1.0246174,1.0240395,0.194
4799,1.0220413,1.0229992,0.22
4899,1.0214348,1.0226804,0.236
4999,1.0239635,1.0232038,0.192
5099,1.0243571,1.0226701,0.212
5199,1.0228685,1.0227225,0.21
5299,1.022379,1.0237166,0.172
5399,1.0216315,1.0223056,0.21
5499,1.0242285,1.0229936,0.2
5599,1.0228151,1.0225412,0.208
5699,1.0227467,1.0231028,0.202
5799,1.0222692,1.0220715,0.202
5899,1.0210938,1.0236585,0.166
5999,1.0248694,1.0217979,0.242
6099,1.0216798,1.0229509,0.192
6199,1.0233778,1.0233544,0.196
6299,1.0241759,1.0226363,0.192
6399,1.0237857,1.0152172,0.26
6499,1.0274304,1.0239626,0.212
6599,1.027009,1.0217357,0.206
6699,1.02342,1.0132626,0.29
6799,1.0253289,1.0228728,0.168
6899,1.018647,1.0117865,0.284
6999,1.0338882,1.031312,0.17
7099,1.000398,1.0322992,0.182
7199,1.0262573,1.0167911,0.246
7299,1.0315938,1.0186357,0.234
7399,1.0178055,1.023404,0.178
7499,1.0333914,1.022849,0.19
7599,1.0304899,1.0257487,0.18
7699,1.0283747,1.0155017,0.246
7799,1.0267191,1.0344225,0.126
7899,1.0102202,1.021415,0.216
7999,1.0351591,1.0261182,0.156
8099,1.0085666,1.0132967,0.238
8199,1.0328336,0.9978361,0.31
8299,1.0131054,0.98343474,0.328
8399,1.0243651,1.0249393,0.23
8499,1.0366377,1.0156384,0.234
8599,0.99895227,1.0203875,0.234
8699,0.99932414,1.0276897,0.184
8799,1.0196921,1.0223483,0.198
8899,1.0266244,1.0079337,0.274
8999,1.0255907,1.0206337,0.286
9099,1.0054281,1.0275198,0.194
9199,0.99558717,1.0227792,0.204
9299,0.99070644,1.0150557,0.224
9399,1.0308515,1.0188091,0.252
9499,0.95658857,1.0183457,0.214
9599,1.0167612,1.0038339,0.322
9699,0.9916452,0.961551,0.264
9799,1.0217482,1.022542,0.24
9899,0.9933731,1.0224465,0.278
