iter,train_loss,test_loss,acc
99,1.2796152,1.2941067,0.19
199,1.2634064,1.2593608,0.23
299,1.2597096,1.2593666,0.164
399,1.2571402,1.2569604,0.228
499,1.2576941,1.2570941,0.208
599,1.2568257,1.2574304,0.184
699,1.2574835,1.2571195,0.224
799,1.2570579,1.2571418,0.18
899,1.2570246,1.2572174,0.19
999,1.257479,1.2574253,0.194
1099,1.2568827,1.2570931,0.208
1199,1.2549098,1.2528853,0.224
1299,1.2570635,1.2571971,0.146
1399,1.2567877,1.2573578,0.168
1499,1.2572092,1.2570832,0.192
1599,1.2573155,1.2570845,0.236
1699,1.2571704,1.2571023,0.226
1799,1.2572622,1.2571739,0.222
1899,1.2585564,1.258773,0.22
1999,1.2537857,1.2574432,0.21
2099,1.257654,1.2582026,0.146
2199,1.2503271,1.2668089,0.198
2299,1.2570693,1.2569668,0.264
2399,1.2572281,1.2575945,0.216
2499,1.2572144,1.2571528,0.208
2599,1.2571545,1.257156,0.174
2699,1.2584893,1.2595049,0.126
2799,1.2572348,1.2571083,0.184
2899,1.2570488,1.2635939,0.154
2999,1.2306044,1.2570672,0.196
3099,1.2572887,1.2619456,0.15
3199,1.2587517,1.2573028,0.184
3299,1.257617,1.2602016,0.16
3399,1.2441213,1.2490543,0.286
3499,1.2572215,1.2573597,0.194
3599,1.2573464,1.2577754,0.2
3699,1.2572638,1.2562556,0.246
3799,1.2565035,1.2626684,0.138
3899,1.2574387,1.2541713,0.276
3999,1.2420113,1.2602041,0.194
4099,1.2293066,1.2590477,0.18
4199,1.2655987,1.267886,0.234
4299,1.2572787,1.2580343,0.176
4399,1.2573156,1.2366091,0.316
4499,1.2132664,1.2440053,0.302
4599,1.2571464,1.194514,0.392
4699,1.261237,1.2301064,0.278
4799,1.2602805,1.2572062,0.264
4899,1.2601883,1.239305,0.256
4999,1.2571516,1.2648305,0.194
5099,1.2572485,1.2561499,0.236
5199,1.2644749,1.2022722,0.354
5299,1.25715,1.2640609,0.21
5399,1.257179,1.253728,0.236
5499,1.2572086,1.2594634,0.198
5599,1.1897027,1.2480924,0.348
5699,1.2514725,1.25987,0.184
5799,1.2620968,1.2583206,0.086
5899,1.2473993,1.2647176,0.192
5999,1.2651691,1.2427979,0.28
6099,1.2580104,1.2592158,0.126
6199,1.2597969,1.259178,0.226
6299,1.2620275,1.2627192,0.178
