iter,train_loss,test_loss,acc
99,1.2796152,1.2941066,0.19
199,1.2634064,1.2593608,0.23
299,1.2597096,1.2593668,0.164
399,1.2571402,1.2569604,0.228
499,1.2576941,1.2570941,0.208
599,1.2568257,1.2574304,0.184
699,1.2574835,1.2571195,0.224
799,1.257058,1.2571417,0.18
899,1.2570246,1.2572174,0.19
999,1.257479,1.2574254,0.194
1099,1.2568827,1.2570931,0.208
1199,1.2549098,1.2528853,0.224
1299,1.2570635,1.2571971,0.146
1399,1.2567875,1.2573578,0.168
1499,1.2572092,1.2570832,0.192
1599,1.2573155,1.2570845,0.236
1699,1.2571704,1.2571023,0.226
1799,1.2572622,1.2571739,0.222
1899,1.2585555,1.2587723,0.22
1999,1.2537801,1.2574444,0.208
2099,1.2576592,1.25821,0.146
2199,1.2503874,1.2666708,0.198
2299,1.2570575,1.2569379,0.244
2399,1.2575253,1.2577518,0.124
2499,1.2571539,1.257139,0.212
2599,1.2571507,1.2571615,0.132
2699,1.2577832,1.2591698,0.138
2799,1.2573488,1.2576336,0.168
2899,1.2569228,1.2601821,0.176
2999,1.2338918,1.2570857,0.164
3099,1.2571509,1.2629559,0.174
3199,1.2625588,1.2557832,0.192
3299,1.2586204,1.257805,0.2
3399,1.2543055,1.2566271,0.252
3499,1.2571472,1.2573553,0.23
3599,1.2509706,1.2664343,0.168
3699,1.2594744,1.2570604,0.208
3799,1.2561674,1.2573147,0.186
3899,1.2615759,1.2486877,0.232
3999,1.2229556,1.2583404,0.178
4099,1.2565485,1.2600442,0.186
4199,1.2661242,1.2621021,0.196
4299,1.260479,1.229761,0.232
4399,1.2609103,1.2381854,0.332
4499,1.2316335,1.2508565,0.3
4599,1.2574877,1.1860056,0.382
4699,1.221564,1.2332747,0.226
4799,1.23625,1.2592478,0.266
4899,1.2756418,1.2311139,0.238
4999,1.261173,1.2593584,0.28
5099,1.2663132,1.2588296,0.212
5199,1.2643607,1.1729653,0.378
5299,1.2572453,1.2748809,0.188
5399,1.2579854,1.2510157,0.308
5499,1.257314,1.2639837,0.12
5599,1.1931909,1.250003,0.374
5699,1.2346932,1.2609705,0.116
5799,1.2582908,1.2573476,0.044
5899,1.2523581,1.2036175,0.296
5999,1.2760346,1.2230405,0.392
6099,1.2624836,1.2639633,0.088
6199,1.2551868,1.193317,0.38
6299,1.2594241,1.2540609,0.226
6399,1.2555523,1.219487,0.24
6499,1.249985,1.2596618,0.19
6599,1.258795,1.2661884,0.152
6699,1.2454197,1.2526252,0.266
6799,1.1809165,1.2252966,0.252
6899,1.2642138,1.2004272,0.24
6999,1.2192417,1.2215286,0.38
7099,1.2059076,1.2037506,0.352
7199,1.2433996,1.2364566,0.22
7299,1.2330321,1.1599818,0.404
7399,1.2278388,1.2551973,0.218
7499,1.1353652,1.216226,0.364
7599,1.212006,1.2531552,0.316
7699,1.1834899,1.258515,0.158
7799,1.1982254,1.2544183,0.232
7899,1.2407874,1.2574006,0.224
7999,1.2627175,1.2268801,0.306
8099,1.2303437,1.2117767,0.356
8199,1.2101383,1.2315823,0.304
8299,1.2458858,1.1917449,0.352
8399,1.2668476,1.2255366,0.272
8499,1.2547987,1.2577068,0.21
8599,1.2674932,1.2525145,0.314
8699,1.2572372,1.2598448,0.15
8799,1.2545702,1.241209,0.21
8899,1.2643825,1.2476246,0.274
