iter,train_loss,test_loss,acc
99,1.4628187,1.4683775,0.228
199,1.3576977,1.3535062,0.22
299,1.2529294,1.2483076,0.182
399,1.1673895,1.1660442,0.196
499,1.12415,1.1212658,0.192
599,1.0951252,1.0895435,0.206
699,1.0720832,1.0755211,0.202
799,1.0626004,1.062653,0.212
899,1.0586727,1.0563669,0.19
999,1.0518448,1.050228,0.212
1099,1.0393895,1.047126,0.22
1199,1.0407331,1.0434417,0.202
1299,1.0422723,1.0395496,0.244
1399,1.0418717,1.0400149,0.178
1499,1.0381591,1.0374727,0.182
1599,1.0399612,1.0328047,0.22
1699,1.0378315,1.0355586,0.202
1799,1.0316474,1.0338948,0.192
1899,1.0275048,1.032698,0.206
1999,1.0329697,1.0320727,0.196
2099,1.0343113,1.0319027,0.198
2199,1.0210412,1.0301862,0.202
2299,1.0325766,1.0297533,0.188
2399,1.0302069,1.0284426,0.228
2499,1.0400336,1.0257906,0.254
2599,1.0287292,1.0280238,0.192
2699,1.0336766,1.0336813,0.2
2799,1.0265956,1.0268219,0.188
2899,1.0264416,1.0262225,0.222
2999,1.0255594,1.0262746,0.214
3099,1.0274007,1.0264946,0.214
3199,1.0105444,1.0250763,0.228
3299,1.026984,1.026343,0.21
3399,1.0254147,1.0245936,0.244
3499,1.0307955,1.0263269,0.192
3599,1.0257361,1.0230983,0.234
3699,1.024432,1.013979,0.276
3799,1.0280697,1.0458305,0.174
3899,1.0310128,1.025137,0.17
3999,1.0252155,1.023471,0.136
4099,1.0056217,1.031012,0.202
4199,1.0336334,1.0285995,0.204
4299,1.0302145,1.0231439,0.23
4399,1.0309837,0.9795504,0.314
4499,0.9316937,0.99204725,0.332
4599,1.0269436,0.9719791,0.382
4699,1.0271747,1.0000964,0.264
4799,1.0295217,1.0216346,0.208
4899,1.018015,0.98554015,0.264
4999,1.0299137,1.0277412,0.216
5099,1.0388407,1.021956,0.222
5199,1.0292689,0.9241293,0.388
5299,1.0178703,1.0200802,0.242
5399,1.0202215,1.0202665,0.26
5499,1.0138235,1.0236455,0.178
5599,0.97134984,1.0231032,0.342
5699,1.0499152,1.0224992,0.194
5799,1.0161325,1.021717,0.212
5899,0.9909298,1.0064405,0.248
5999,1.0216957,1.0142884,0.292
6099,1.0098288,1.0262982,0.186
6199,1.0167946,1.0058308,0.258
6299,1.0145094,1.01691,0.226
6399,1.0141963,0.98821723,0.294
6499,1.0115285,0.9988507,0.306
6599,1.0232036,1.0134313,0.236
6699,0.998608,1.017695,0.262
6799,1.0201651,1.016432,0.226
6899,1.002435,0.90865403,0.382
6999,1.0049622,0.9967777,0.316
7099,0.9249853,1.030411,0.198
7199,1.040242,1.0153654,0.226
7299,1.0167164,0.9806824,0.306
7399,0.992164,1.0030533,0.236
7499,1.0132334,1.0097616,0.198
7599,1.0305951,1.001415,0.278
7699,1.0407493,0.98229414,0.368
7799,0.9983228,1.0108328,0.274
7899,1.0027987,1.0215268,0.19
7999,1.0252235,1.0236894,0.208
8099,0.9834921,0.9741901,0.312
8199,0.98876774,0.9566727,0.346
8299,0.9820448,0.88938046,0.362
8399,1.0432847,1.0244399,0.22
8499,1.0069802,0.9685779,0.358
8599,1.0124274,1.016417,0.28
8699,0.9908501,1.0145018,0.284
8799,0.99414015,1.0068797,0.248
8899,1.0147563,1.0106345,0.248
8999,1.0506353,0.99971557,0.308
9099,0.9712181,1.0268675,0.244
9199,0.95241195,0.9967889,0.308
9299,0.9933268,0.99560815,0.298
9399,1.036317,1.0377411,0.198
9499,0.8909119,1.0390676,0.216
9599,0.87955916,0.9962585,0.304
9699,0.9249114,0.96726596,0.334
9799,1.0240649,1.0263915,0.23
9899,0.9725733,1.0248134,0.216
9999,0.9423022,0.98537725,0.352
