iter,train_loss,test_loss,acc
99,1.0974573,1.103468,0.2
199,1.0324312,1.0356337,0.192
299,1.0315588,1.0297117,0.156
399,1.0241894,1.0265559,0.182
499,1.0180395,1.0224994,0.222
599,1.0200617,1.0240566,0.208
699,1.0200493,1.022608,0.208
799,1.021843,1.022295,0.2
899,1.0212305,1.0220888,0.194
999,1.0228736,1.0220191,0.21
1099,1.0211703,1.0222421,0.17
1199,1.0195451,1.0216657,0.2
1299,1.0239713,1.0223699,0.21
1399,1.021486,1.0217242,0.198
1499,1.0214379,1.0214745,0.2
1599,1.0220265,1.0218035,0.182
1699,1.0206289,1.0210373,0.198
1799,1.0207484,1.0213819,0.184
1899,1.0213158,1.0213009,0.198
1999,1.0205534,1.0210288,0.23
2099,1.0232044,1.0213435,0.202
2199,1.0211821,1.0210603,0.2
2299,1.0214993,1.021202,0.23
2399,1.0212566,1.0211308,0.2
2499,1.0214027,1.0212903,0.22
2599,1.0211067,1.0210581,0.2
2699,1.0214016,1.0211202,0.214
2799,1.0207884,1.0214231,0.184
2899,1.0210193,1.0210569,0.19
2999,1.0212667,1.0212013,0.2
3099,1.0210782,1.0212927,0.186
3199,1.0210664,1.0211962,0.224
3299,1.0210316,1.0210947,0.212
3399,1.0211289,1.0211025,0.202
3499,1.0210894,1.0211911,0.2
3599,1.0212504,1.0211751,0.19
3699,1.0211787,1.0211217,0.198
3799,1.0211761,1.0211967,0.194
3899,1.0210845,1.0211123,0.204
3999,1.0211861,1.0210477,0.216
4099,1.0208334,1.0210946,0.2
4199,1.0207107,1.020969,0.192
4299,1.0209764,1.0210285,0.192
4399,1.0213649,1.0210605,0.222
4499,1.0204691,1.0212632,0.2
4599,1.0211072,1.021066,0.22
4699,1.0209858,1.0210595,0.204
4799,1.0213687,1.0210983,0.196
4899,1.0204933,1.0212439,0.2
4999,1.0213532,1.0211762,0.172
5099,1.0210502,1.0210078,0.212
5199,1.0211494,1.0210235,0.212
5299,1.0210799,1.0210606,0.198
5399,1.0211948,1.0211072,0.19
5499,1.0211343,1.0210526,0.2
5599,1.0211558,1.0210426,0.208
5699,1.0209765,1.0210531,0.214
5799,1.021062,1.0212026,0.198
5899,1.0210044,1.0210136,0.206
5999,1.0211881,1.0211581,0.196
6099,1.0210524,1.0210457,0.212
6199,1.0210241,1.0210971,0.2
6299,1.0210639,1.0210857,0.182
6399,1.0211267,1.0210693,0.208
6499,1.0209923,1.0209744,0.218
6599,1.0209618,1.0210665,0.212
6699,1.0210911,1.0211816,0.204
6799,1.0210445,1.0211192,0.2
6899,1.0211134,1.0210989,0.2
6999,1.021055,1.0210494,0.21
7099,1.0211223,1.0210755,0.168
7199,1.0210491,1.0210425,0.22
7299,1.0210564,1.0210614,0.2
7399,1.02099,1.021025,0.2
7499,1.0209782,1.0210483,0.232
7599,1.0213686,1.0210865,0.2
7699,1.021034,1.0210788,0.182
7799,1.0210769,1.0210333,0.214
7899,1.0210378,1.0210613,0.188
7999,1.0210539,1.0210617,0.19
8099,1.0210764,1.0210543,0.202
8199,1.0210266,1.0210646,0.2
8299,1.3743265,1.3743178,0.21
8399,1.3785453,1.1777575,0.2
8499,1.0209839,1.0213783,0.2
8599,1.0216784,1.0212152,0.2
8699,1.0217214,1.0210961,0.2
8799,1.0208012,1.0213513,0.184
8899,1.0209612,1.0212761,0.204
8999,1.0211633,1.0211277,0.214
9099,1.02114,1.02136,0.188
9199,1.0209581,1.021118,0.198
9299,1.0218624,1.0214156,0.192
