iter,train_loss,test_loss,acc
99,1.1057684,1.1280015,0.186
199,1.0502211,1.0419087,0.198
299,1.0558388,1.039887,0.142
399,1.03984,1.0382422,0.172
499,1.0360491,1.0366404,0.222
599,1.0364609,1.0378281,0.234
699,1.0355484,1.0362555,0.264
799,1.0347883,1.0368404,0.26
899,1.0360054,1.03629,0.192
999,1.0350822,1.0355535,0.136
1099,1.0344131,1.0343243,0.25
1199,1.0379598,1.037853,0.23
1299,1.0363245,1.0347717,0.21
1399,1.0375988,1.0353281,0.196
1499,1.0366424,1.0349528,0.24
1599,1.0428784,1.0350488,0.228
1699,1.0348929,1.0352998,0.126
1799,1.0351145,1.0353612,0.152
1899,1.0350063,1.0352134,0.182
1999,1.0368327,1.033671,0.322
2099,1.0361395,1.0357015,0.158
2199,1.0352405,1.0350195,0.316
2299,1.0353125,1.034467,0.272
2399,1.0355549,1.0381315,0.202
2499,1.0347459,1.0353205,0.216
2599,1.0350368,1.0349151,0.202
2699,1.0356896,1.033538,0.166
2799,1.0344989,1.0348338,0.248
2899,1.0342883,1.0353822,0.16
2999,1.0348756,1.0351509,0.186
3099,1.0352005,1.03515,0.204
3199,1.0357279,1.0351634,0.216
3299,1.0354416,1.0351862,0.216
3399,1.0352757,1.0319965,0.172
3499,1.0351611,1.0355881,0.078
3599,1.0340035,1.0351323,0.232
3699,1.035738,1.0307616,0.22
3799,1.0337214,1.0352006,0.222
3899,1.0340018,1.0292469,0.206
3999,1.0331789,1.0336741,0.19
4099,1.0335058,1.0312009,0.208
4199,1.0339295,1.0305504,0.198
4299,1.038801,1.0377938,0.184
4399,1.0793123,1.0228873,0.234
4499,0.996879,1.0299102,0.222
4599,1.0204105,1.0290961,0.242
4699,1.0286628,0.99849594,0.186
4799,1.033845,0.9811783,0.308
4899,1.0633806,1.0491585,0.202
4999,0.9641973,0.9802392,0.192
5099,1.0137054,0.9717775,0.21
5199,1.0312253,0.9965878,0.156
5299,0.9433877,1.0120676,0.086
5399,1.0074546,1.0326945,0.172
5499,0.95438224,1.0152075,0.194
5599,1.006863,1.0250793,0.148
5699,1.028466,0.95315504,0.116
5799,1.0401201,1.0259087,0.106
5899,1.0078523,0.9954832,0.236
5999,1.0483611,1.0022324,0.262
6099,1.0391129,0.9836585,0.254
6199,1.0318804,0.9093346,0.384
6299,0.9706315,0.9580857,0.314
6399,1.0515945,1.0105462,0.198
6499,1.0235031,0.99116373,0.302
6599,0.96954477,1.0235454,0.206
6699,0.8755115,1.0100533,0.164
6799,0.92409134,0.9684375,0.272
6899,1.0169591,1.0067234,0.3
6999,0.85218984,0.83232087,0.382
7099,0.95932925,1.0073205,0.182
7199,0.99295485,1.071789,0.206
7299,0.9187918,0.8259612,0.404
7399,0.95694387,1.0390846,0.218
7499,0.9218117,0.93279433,0.352
7599,0.93852365,0.8641322,0.492
7699,0.9610845,0.91985524,0.344
7799,0.8582452,0.85337085,0.486
7899,0.99992406,0.9590097,0.268
7999,0.9139885,1.0184054,0.222
8099,0.9112175,1.0173602,0.188
8199,0.7991252,0.94138575,0.364
8299,0.9403003,0.92881423,0.36
8399,0.9934826,0.9589826,0.25
8499,0.910738,0.94925034,0.368
8599,1.0204222,0.99074495,0.264
8699,0.9538094,0.9920741,0.3
8799,1.0019753,1.0517625,0.148
8899,0.9151608,1.0473707,0.102
8999,1.0070621,0.94537586,0.356
9099,0.96659946,0.9959634,0.182
9199,0.9466162,1.0651243,0.176
9299,0.98854446,0.9501926,0.268
9399,0.9833106,1.0174268,0.176
9499,0.93131363,1.0335716,0.156
9599,1.0208546,1.0425986,0.224
9699,0.8967557,0.9531839,0.286
9799,0.9969452,0.940259,0.376
9899,0.9520313,0.9618979,0.146
9999,0.9213783,0.9332322,0.35
10099,0.9035293,0.8406448,0.442
10199,0.9406904,1.0166641,0.212
10299,0.93858206,0.86551446,0.426
10399,0.9573595,0.92011124,0.284
10499,0.76039046,0.93116397,0.338
