iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.204,0.204,0.192,0.192
20,0.192,0.18400002,0.2,0.20799999
30,0.21599999,0.18400002,0.192,0.2
40,0.216,0.2,0.192,0.2
50,0.248,0.22399999,0.16800001,0.184
60,0.192,0.2,0.2,0.20799999
70,0.176,0.21600002,0.216,0.216
80,0.216,0.168,0.184,0.2
90,0.2,0.2,0.192,0.2
100,0.216,0.2,0.176,0.2
110,0.192,0.184,0.20799999,0.24
120,0.192,0.20799999,0.15200001,0.176
130,0.192,0.22400002,0.216,0.216
140,0.192,0.176,0.184,0.22400002
150,0.184,0.256,0.192,0.2
160,0.2,0.16800001,0.2,0.2
170,0.192,0.216,0.2,0.20799999
180,0.18400002,0.184,0.22400002,0.144
190,0.16,0.16800001,0.2,0.16
200,0.192,0.248,0.14400001,0.168
210,0.24,0.24,0.2,0.18400002
220,0.26400003,0.24,0.16,0.16800001
230,0.2,0.2,0.192,0.20799999
240,0.22400002,0.2,0.2,0.2
250,0.20799999,0.192,0.192,0.18400002
260,0.15200001,0.216,0.176,0.2
270,0.2,0.2,0.216,0.176
280,0.16,0.176,0.2,0.192
290,0.192,0.2,0.216,0.2
300,0.28,0.28,0.22399999,0.248
310,0.15200001,0.168,0.192,0.176
320,0.15200001,0.2,0.216,0.208
330,0.2,0.2,0.20799999,0.2
340,0.216,0.192,0.216,0.208
350,0.24,0.2,0.192,0.18400002
360,0.2,0.208,0.2,0.2
370,0.2,0.2,0.2,0.2
380,0.2,0.208,0.2,0.2
390,0.216,0.216,0.216,0.22400002
400,0.192,0.192,0.192,0.16
410,0.23200001,0.24,0.24,0.24
420,0.216,0.216,0.176,0.18400002
430,0.18400002,0.16,0.21600002,0.176
440,0.20799999,0.176,0.216,0.168
450,0.168,0.2,0.24,0.176
460,0.176,0.2,0.24,0.24
470,0.176,0.168,0.18400002,0.2
480,0.192,0.256,0.2,0.23200001
490,0.22399999,0.272,0.176,0.18400002
500,0.18400002,0.17599998,0.22400002,0.2
510,0.22399999,0.216,0.208,0.216
520,0.18400002,0.184,0.216,0.23200001
530,0.2,0.2,0.2,0.2
540,0.192,0.16,0.2,0.22400002
550,0.2,0.176,0.232,0.248
560,0.16,0.2,0.18400002,0.208
570,0.18400002,0.192,0.192,0.23200001
580,0.18400002,0.192,0.20799999,0.216
590,0.2,0.2,0.2,0.192
600,0.2,0.2,0.2,0.2
610,0.2,0.2,0.2,0.2
620,0.2,0.192,0.20799999,0.2
630,0.2,0.216,0.168,0.192
640,0.2,0.2,0.2,0.2
650,0.2,0.2,0.192,0.216
660,0.216,0.192,0.22400002,0.184
670,0.208,0.176,0.216,0.2
680,0.17600003,0.24800001,0.16800001,0.176
690,0.176,0.20799999,0.168,0.184
700,0.18400002,0.184,0.23200001,0.208
710,0.216,0.232,0.192,0.24
720,0.21600002,0.16,0.18400002,0.136
730,0.2,0.18400002,0.2,0.176
740,0.184,0.20799999,0.23200001,0.208
750,0.23200001,0.20000002,0.192,0.22400002
760,0.192,0.18400002,0.20799999,0.2
770,0.2,0.216,0.18400002,0.20799999
780,0.22400002,0.24,0.192,0.272
790,0.192,0.20799999,0.2,0.216
800,0.16,0.248,0.216,0.18400002
810,0.20799999,0.20799999,0.23200001,0.192
820,0.22399999,0.256,0.18400002,0.26400003
830,0.2,0.25599998,0.22399999,0.248
840,0.16800001,0.24800001,0.24800001,0.23200001
850,0.21599999,0.25599998,0.192,0.264
860,0.192,0.25599998,0.2,0.20799999
870,0.22400002,0.256,0.176,0.256
880,0.2,0.24800001,0.192,0.288
890,0.18400002,0.33600003,0.20799999,0.26400003
900,0.22399999,0.312,0.18400002,0.256
910,0.208,0.272,0.176,0.272
920,0.18400002,0.28,0.176,0.312
930,0.216,0.312,0.192,0.272
940,0.2,0.32800004,0.176,0.29599997
950,0.20799999,0.312,0.26400003,0.344
960,0.2,0.312,0.22400002,0.30400002
970,0.256,0.29599997,0.2,0.296
