iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.2,0.17600001,0.216,0.192
20,0.2,0.2,0.2,0.208
30,0.2,0.20799999,0.192,0.2
40,0.2,0.2,0.192,0.2
50,0.168,0.23200001,0.216,0.20799999
60,0.20799999,0.208,0.18400002,0.2
70,0.272,0.22400002,0.22400002,0.2
80,0.176,0.23200001,0.18400002,0.216
90,0.192,0.23200001,0.216,0.272
100,0.18400002,0.22400002,0.16,0.23200001
110,0.208,0.248,0.192,0.256
120,0.216,0.24,0.192,0.23200001
130,0.20799999,0.256,0.216,0.28
140,0.2,0.29600003,0.20799999,0.26400003
150,0.216,0.32,0.24,0.28800002
160,0.16800001,0.32,0.2,0.336
170,0.18400002,0.29600003,0.18400002,0.33600003
180,0.18400002,0.30400002,0.22400002,0.30400002
190,0.2,0.25599998,0.2,0.32799998
200,0.16,0.296,0.23200001,0.33600003
210,0.16,0.32800004,0.2,0.33600003
220,0.192,0.28800002,0.2,0.352
230,0.216,0.296,0.184,0.35200006
240,0.192,0.344,0.216,0.32
250,0.216,0.272,0.184,0.344
260,0.184,0.33600003,0.144,0.352
270,0.192,0.33600003,0.2,0.32800004
280,0.216,0.32,0.192,0.37600002
290,0.2,0.36,0.208,0.368
300,0.16,0.33600003,0.17599998,0.352
310,0.192,0.304,0.176,0.32800004
320,0.23200001,0.352,0.14400001,0.344
330,0.216,0.352,0.2,0.4
340,0.15200001,0.376,0.208,0.32800004
350,0.176,0.33600003,0.23200001,0.4
360,0.184,0.32,0.184,0.36
370,0.216,0.312,0.208,0.39200002
380,0.232,0.36,0.176,0.32
390,0.168,0.37600002,0.18400002,0.36000004
400,0.23200001,0.36,0.20799999,0.36800003
410,0.176,0.41599998,0.16,0.37600002
420,0.20799999,0.296,0.256,0.376
430,0.16800001,0.36,0.2,0.36
440,0.152,0.32800004,0.24,0.344
450,0.192,0.32799998,0.216,0.36
460,0.24,0.32799998,0.184,0.36800003
470,0.192,0.368,0.176,0.33600003
480,0.168,0.36800003,0.168,0.36
490,0.111999996,0.33600003,0.248,0.32800004
500,0.23200001,0.384,0.176,0.36800003
510,0.16,0.33600003,0.15200001,0.408
520,0.176,0.39200002,0.2,0.4
530,0.18400002,0.4,0.20799999,0.36800003
540,0.192,0.37600002,0.208,0.384
550,0.192,0.35200006,0.2,0.40800002
560,0.2,0.39200005,0.192,0.42400002
570,0.152,0.352,0.2,0.42400002
580,0.152,0.33600003,0.16,0.32800004
590,0.23200001,0.384,0.128,0.40800002
600,0.192,0.384,0.21599999,0.344
610,0.23200001,0.4,0.23200001,0.40800002
620,0.18400002,0.4,0.22400002,0.36
630,0.20799999,0.41599998,0.176,0.432
640,0.22400002,0.44799998,0.176,0.368
650,0.22400002,0.504,0.272,0.44
660,0.24,0.432,0.16,0.41599998
670,0.24,0.42400002,0.176,0.40800002
680,0.192,0.4,0.23200001,0.4
690,0.16,0.384,0.22399999,0.44
700,0.2,0.40800002,0.192,0.39200002
710,0.208,0.36800003,0.192,0.40800002
720,0.256,0.44799998,0.23200001,0.44
730,0.14400001,0.4,0.176,0.4
740,0.272,0.40000004,0.176,0.376
750,0.192,0.416,0.216,0.37600002
760,0.2,0.40800002,0.168,0.40800002
770,0.14400001,0.46400002,0.256,0.47200003
780,0.2,0.44800004,0.176,0.40800002
790,0.24000002,0.45599997,0.22400002,0.44
800,0.20799999,0.504,0.176,0.48
810,0.14400001,0.416,0.192,0.47199997
820,0.144,0.496,0.103999995,0.42400002
830,0.216,0.4,0.192,0.44
840,0.208,0.42400002,0.16800001,0.42400002
850,0.176,0.45599997,0.216,0.46400002
860,0.256,0.46400002,0.272,0.40800002
870,0.176,0.504,0.216,0.472
880,0.2,0.44,0.15200001,0.45599997
