epoch,cumulative_reward,success_rate,mean_loss
0,-112.0,0.0,0.16465266
1,-112.0,0.0,0.1023792
2,-112.0,0.0,0.1392493
3,-112.0,0.0,0.13200632
4,-111.0,0.0625,0.12019305
5,-112.0,0.0,0.110823914
6,-112.0,0.0,0.11256623
7,-112.0,0.0,0.112943724
8,-109.0,0.0625,0.10745795
9,-112.0,0.0,0.103732444
10,-111.0,0.0625,0.09972887
11,-112.0,0.0,0.09294484
12,-112.0,0.0,0.08594104
13,-109.0,0.0625,0.08723213
14,-112.0,0.0,0.08687578
15,-112.0,0.0,0.08235762
16,-112.0,0.0,0.07961362
17,-112.0,0.0,0.07473784
18,-112.0,0.0,0.07811354
19,-108.0,0.0625,0.075351164
20,-112.0,0.0,0.07670349
21,-108.0,0.0625,0.07384135
22,-107.0,0.125,0.07153106
23,-112.0,0.0,0.071429305
24,-112.0,0.0,0.06743663
25,-109.0,0.0625,0.06476897
26,-108.0,0.0625,0.06351231
27,-112.0,0.0,0.06736635
28,-112.0,0.0,0.06419259
29,-112.0,0.0,0.059211146
30,-112.0,0.0,0.059536733
31,-105.0,0.125,0.056160904
32,-112.0,0.0,0.05535944
33,-112.0,0.0,0.050514244
34,-109.0,0.0625,0.0486146
35,-112.0,0.0,0.047840558
36,-112.0,0.0,0.04857091
37,-112.0,0.0,0.048843704
38,-112.0,0.0,0.04908426
39,-112.0,0.0,0.04690134
40,-105.0,0.125,0.045865953
41,-112.0,0.0,0.041836105
42,-102.0,0.1875,0.042843573
43,-112.0,0.0,0.045647036
44,-112.0,0.0,0.04389267
45,-112.0,0.0,0.038997535
46,-110.0,0.0625,0.03942081
47,-109.0,0.0625,0.039059073
48,-112.0,0.0,0.04182766
49,-112.0,0.0,0.03755922
50,-112.0,0.0,0.03720396
51,-108.0,0.0625,0.038004488
52,-111.0,0.0625,0.030959751
53,-108.0,0.0625,0.035922427
54,-112.0,0.0,0.033593923
55,-111.0,0.0625,0.035022795
56,-112.0,0.0,0.03159802
57,-109.0,0.0625,0.030229753
58,-109.0,0.0625,0.028232645
59,-102.0,0.1875,0.02877228
60,-112.0,0.0,0.029443378
61,-108.0,0.0625,0.031027716
62,-112.0,0.0,0.030476104
63,-110.0,0.0625,0.030408626
64,-112.0,0.0,0.030207878
65,-112.0,0.0,0.025994876
66,-112.0,0.0,0.026314154
67,-112.0,0.0,0.023875462
68,-112.0,0.0,0.028308759
69,-112.0,0.0,0.025139814
70,-109.0,0.0625,0.027813252
71,-112.0,0.0,0.025471961
72,-109.0,0.0625,0.026043648
73,-112.0,0.0,0.02884591
74,-112.0,0.0,0.027128294
75,-112.0,0.0,0.024679769
76,-112.0,0.0,0.023095155
77,-112.0,0.0,0.020481717
78,-112.0,0.0,0.024104213
79,-112.0,0.0,0.0211842
80,-112.0,0.0,0.020920912
81,-109.0,0.0625,0.021850642
82,-112.0,0.0,0.018312221
83,-106.0,0.125,0.020718345
84,-112.0,0.0,0.02349024
85,-105.0,0.125,0.018029857
86,-112.0,0.0,0.018443484
87,-112.0,0.0,0.020546824
88,-112.0,0.0,0.018757682
89,-109.0,0.0625,0.017946385
90,-112.0,0.0,0.020247791
91,-112.0,0.0,0.020240929
92,-109.0,0.0625,0.01732871
93,-112.0,0.0,0.019496402
94,-109.0,0.0625,0.019862134
95,-108.0,0.0625,0.021453772
96,-112.0,0.0,0.026852077
97,-112.0,0.0,0.018310461
98,-112.0,0.0,0.01993743
99,-112.0,0.0,0.018452188
100,-112.0,0.0,0.016739074
101,-108.0,0.0625,0.017717773
102,-112.0,0.0,0.019074455
103,-109.0,0.0625,0.017826654
104,-105.0,0.125,0.019462407
105,-109.0,0.0625,0.019463364
106,-112.0,0.0,0.017905552
107,-109.0,0.0625,0.019329289
108,-112.0,0.0,0.020361027
109,-112.0,0.0,0.01675065
110,-112.0,0.0,0.016907956
111,-109.0,0.0625,0.018238503
112,-109.0,0.0625,0.014797831
113,-112.0,0.0,0.019002346
114,-109.0,0.0625,0.018176839
115,-112.0,0.0,0.017572636
116,-112.0,0.0,0.016412145
117,-108.0,0.0625,0.016654719
118,-112.0,0.0,0.017127132
119,-109.0,0.0625,0.018115973
120,-112.0,0.0,0.019760456
121,-112.0,0.0,0.021154994
122,-112.0,0.0,0.022493
123,-109.0,0.0625,0.018029202
124,-109.0,0.0625,0.017241627
125,-112.0,0.0,0.017502159
126,-112.0,0.0,0.023132052
127,-103.0,0.1875,0.017343592
128,-112.0,0.0,0.022649806
129,-108.0,0.0625,0.0154600935
130,-107.0,0.125,0.01844145
131,-106.0,0.125,0.018389398
132,-109.0,0.0625,0.015454857
133,-109.0,0.0625,0.015103427
134,-112.0,0.0,0.017317643
135,-110.0,0.0625,0.017871965
136,-105.0,0.125,0.019653052
137,-112.0,0.0,0.01818462
138,-109.0,0.0625,0.01790908
139,-112.0,0.0,0.020865792
140,-112.0,0.0,0.020773485
141,-109.0,0.0625,0.01881581
142,-112.0,0.0,0.02959326
143,-112.0,0.0,0.0199106
144,-112.0,0.0,0.018661786
145,-112.0,0.0,0.018612567
146,-112.0,0.0,0.018944714
147,-104.0,0.1875,0.01881983
148,-111.0,0.0625,0.020060364
149,-108.0,0.0625,0.018275928
