epoch,cumulative_reward,success_rate,mean_loss
0,-240.0,0.0,0.09626536
1,-240.0,0.0,0.13597623
2,-240.0,0.0,0.20136228
3,-240.0,0.0,0.22527146
4,-240.0,0.0,0.22605677
5,-240.0,0.0,0.21676974
6,-240.0,0.0,0.2191054
7,-240.0,0.0,0.21758005
8,-240.0,0.0,0.21076815
9,-240.0,0.0,0.20671621
10,-240.0,0.0,0.19957007
11,-240.0,0.0,0.191461
12,-240.0,0.0,0.18929711
13,-240.0,0.0,0.1838729
14,-240.0,0.0,0.17166933
15,-240.0,0.0,0.1697031
16,-240.0,0.0,0.16682568
17,-240.0,0.0,0.1582787
18,-240.0,0.0,0.14742498
19,-240.0,0.0,0.14878683
20,-240.0,0.0,0.14639643
21,-240.0,0.0,0.13856502
22,-240.0,0.0,0.13875659
23,-240.0,0.0,0.1383765
24,-240.0,0.0,0.13034041
25,-240.0,0.0,0.1251522
26,-240.0,0.0,0.121188544
27,-233.0,0.0625,0.12121463
28,-235.0,0.0625,0.11666856
29,-240.0,0.0,0.11069785
30,-235.0,0.0625,0.110787
31,-240.0,0.0,0.11147425
32,-234.0,0.0625,0.11195283
33,-236.0,0.0625,0.10595423
34,-235.0,0.0625,0.10985539
35,-240.0,0.0,0.10619011
36,-240.0,0.0,0.10614403
37,-240.0,0.0,0.10132714
38,-240.0,0.0,0.09361653
39,-226.0,0.1875,0.09478141
40,-229.0,0.125,0.096759774
41,-221.0,0.25,0.09031771
42,-232.0,0.125,0.098003685
43,-220.0,0.3125,0.09268612
44,-222.0,0.25,0.09264292
45,-222.0,0.1875,0.094602734
46,-221.0,0.25,0.09607546
47,-224.0,0.1875,0.093431346
48,-215.0,0.3125,0.0979764
49,-226.0,0.1875,0.09241619
50,-219.0,0.25,0.09084767
51,-220.0,0.25,0.08981087
52,-221.0,0.25,0.09339426
53,-226.0,0.1875,0.09321819
54,-216.0,0.3125,0.092919216
55,-212.0,0.375,0.089549825
56,-184.0,0.75,0.09934069
57,-221.0,0.25,0.09383509
58,-221.0,0.25,0.09549371
59,-224.0,0.1875,0.09777251
60,-199.0,0.5625,0.10593756
61,-228.0,0.1875,0.095221505
62,-195.0,0.5625,0.0975178
63,-188.0,0.625,0.09382097
64,-205.0,0.5,0.09881914
65,-202.0,0.5,0.096961044
66,-190.0,0.625,0.09796446
67,-213.0,0.375,0.10247199
68,-217.0,0.375,0.10589568
69,-213.0,0.375,0.10600658
70,-201.0,0.5,0.11512108
71,-187.0,0.6875,0.1028613
72,-199.0,0.5625,0.114103734
73,-189.0,0.6875,0.105123185
74,-187.0,0.75,0.09928095
75,-186.0,0.75,0.109566614
76,-176.0,0.8125,0.10104771
77,-198.0,0.5625,0.11170685
78,-185.0,0.6875,0.121289514
79,-182.0,0.75,0.1084335
80,-182.0,0.75,0.108085535
81,-176.0,0.875,0.10835137
82,-168.0,0.875,0.12078235
83,-172.0,0.9375,0.11915487
84,-170.0,0.9375,0.12842941
85,-187.0,0.75,0.118165374
86,-192.0,0.625,0.1119113
87,-181.0,0.875,0.121393
88,-180.0,0.875,0.13396093
89,-177.0,0.9375,0.14891715
90,-170.0,0.9375,0.13012584
91,-185.0,0.75,0.12724373
92,-194.0,0.625,0.11013313
93,-189.0,0.6875,0.1323282
94,-182.0,0.8125,0.1309026
95,-171.0,0.9375,0.1296736
96,-180.0,0.8125,0.11655959
97,-172.0,0.9375,0.10424681
98,-173.0,0.875,0.13019887
99,-175.0,0.8125,0.13217469
100,-167.0,1.0,0.12002901
101,-186.0,0.75,0.12827139
102,-183.0,0.8125,0.122255966
103,-182.0,0.75,0.13625953
104,-177.0,0.875,0.13088152
105,-179.0,0.875,0.115139045
106,-190.0,0.8125,0.13725774
107,-178.0,0.875,0.13495848
108,-180.0,0.8125,0.16007379
109,-177.0,0.9375,0.13199647
110,-180.0,0.8125,0.13743988
111,-173.0,0.875,0.14158368
112,-183.0,0.75,0.13625257
113,-183.0,0.75,0.14563732
114,-177.0,0.8125,0.14025883
115,-183.0,0.6875,0.13372663
116,-183.0,0.75,0.1395224
117,-180.0,0.875,0.14978103
118,-180.0,0.8125,0.13746318
119,-182.0,0.8125,0.15620384
120,-199.0,0.5625,0.15161903
121,-176.0,0.75,0.14168379
122,-190.0,0.6875,0.15807982
123,-169.0,1.0,0.13828018
124,-180.0,0.75,0.14890411
125,-197.0,0.625,0.12767585
126,-169.0,0.9375,0.12786901
127,-185.0,0.875,0.15327422
128,-188.0,0.75,0.14549299
129,-185.0,0.875,0.12845409
130,-167.0,0.9375,0.14150095
131,-165.0,1.0,0.14226525
132,-177.0,0.8125,0.14900172
133,-174.0,0.875,0.14474511
134,-178.0,0.875,0.14898057
135,-175.0,0.9375,0.15253906
136,-191.0,0.6875,0.15831001
137,-181.0,0.8125,0.15395923
138,-174.0,0.9375,0.1523304
139,-172.0,0.9375,0.14973004
140,-168.0,1.0,0.13410868
141,-176.0,0.8125,0.15306416
142,-180.0,0.8125,0.13411963
143,-179.0,0.875,0.1467345
144,-181.0,0.75,0.15049148
145,-176.0,0.9375,0.15115686
146,-164.0,0.9375,0.14636767
147,-177.0,0.8125,0.14810486
148,-185.0,0.75,0.15385085
149,-166.0,1.0,0.15580645
150,-176.0,0.9375,0.1475887
151,-182.0,0.75,0.13603513
152,-175.0,0.9375,0.14799316
153,-194.0,0.6875,0.13684542
154,-164.0,1.0,0.15153937
155,-180.0,0.8125,0.14936164
156,-176.0,0.875,0.14601262
157,-170.0,0.9375,0.14220905
158,-175.0,0.9375,0.1460764
159,-166.0,0.9375,0.13952217
160,-186.0,0.6875,0.14817819
161,-165.0,1.0,0.1452016
162,-171.0,0.9375,0.15105495
163,-176.0,0.875,0.15358515
164,-163.0,1.0,0.15089424
165,-174.0,0.9375,0.17651483
166,-168.0,0.9375,0.1558771
