epoch,cumulative_reward,success_rate,mean_loss
0,-240.0,0.0,0.12933211
1,-240.0,0.0,0.21784194
2,-240.0,0.0,0.22323668
3,-240.0,0.0,0.23682348
4,-240.0,0.0,0.23324327
5,-240.0,0.0,0.22923636
6,-240.0,0.0,0.217484
7,-240.0,0.0,0.21892186
8,-240.0,0.0,0.21079096
9,-240.0,0.0,0.19865486
10,-240.0,0.0,0.19836213
11,-240.0,0.0,0.1859479
12,-240.0,0.0,0.17453259
13,-240.0,0.0,0.17952994
14,-240.0,0.0,0.17095996
15,-240.0,0.0,0.17583215
16,-240.0,0.0,0.17564227
17,-240.0,0.0,0.15928161
18,-240.0,0.0,0.15721674
19,-240.0,0.0,0.15962829
20,-240.0,0.0,0.14750531
21,-240.0,0.0,0.14936383
22,-240.0,0.0,0.1375976
23,-240.0,0.0,0.13960943
24,-240.0,0.0,0.1386624
25,-240.0,0.0,0.13315426
26,-240.0,0.0,0.13121238
27,-240.0,0.0,0.12601452
28,-240.0,0.0,0.12919934
29,-240.0,0.0,0.12514311
30,-240.0,0.0,0.12405791
31,-240.0,0.0,0.12569502
32,-240.0,0.0,0.11874094
33,-240.0,0.0,0.11829235
34,-235.0,0.0625,0.11368841
35,-240.0,0.0,0.11761527
36,-235.0,0.125,0.10748162
37,-240.0,0.0,0.10799184
38,-240.0,0.0,0.113939956
39,-240.0,0.0,0.11460713
40,-240.0,0.0,0.10869875
41,-240.0,0.0,0.101680495
42,-220.0,0.25,0.1050518
43,-230.0,0.125,0.11004473
44,-240.0,0.0,0.10613348
45,-235.0,0.0625,0.11175631
46,-234.0,0.0625,0.09857808
47,-224.0,0.1875,0.100190364
48,-232.0,0.125,0.108682275
49,-227.0,0.1875,0.09913204
50,-228.0,0.1875,0.097988755
51,-225.0,0.1875,0.09009457
52,-226.0,0.1875,0.09977014
53,-215.0,0.3125,0.096256584
54,-215.0,0.25,0.104398444
55,-214.0,0.375,0.10221795
56,-207.0,0.4375,0.09896441
