epoch,cumulative_reward,success_rate,mean_loss
0,-105.0,0.125,0.19562204
1,-112.0,0.0,0.20027347
2,-112.0,0.0,0.22692092
3,-108.0,0.0625,0.22222269
4,-111.0,0.0625,0.21692404
5,-106.0,0.125,0.2067631
6,-106.0,0.125,0.20421326
7,-107.0,0.125,0.1958385
8,-112.0,0.0,0.19582647
9,-100.0,0.25,0.17273116
10,-109.0,0.0625,0.16800714
11,-112.0,0.0,0.15950182
12,-104.0,0.1875,0.1594733
13,-103.0,0.1875,0.15701413
14,-101.0,0.25,0.14177604
15,-110.0,0.0625,0.15358715
16,-103.0,0.1875,0.15051642
17,-104.0,0.1875,0.13650092
18,-98.0,0.3125,0.1376841
19,-102.0,0.1875,0.13611332
20,-103.0,0.25,0.12826356
21,-93.0,0.5,0.13143852
22,-90.0,0.5625,0.12149712
23,-92.0,0.4375,0.13006754
24,-83.0,0.6875,0.12958792
25,-89.0,0.5,0.1236168
26,-95.0,0.4375,0.1297449
27,-87.0,0.5625,0.12996307
28,-87.0,0.625,0.10958052
29,-78.0,0.8125,0.12000861
30,-77.0,0.8125,0.115414575
31,-74.0,0.9375,0.1103102
32,-77.0,0.875,0.116016924
33,-77.0,0.8125,0.10487976
34,-78.0,0.875,0.10207319
35,-81.0,0.875,0.096185364
36,-69.0,1.0,0.0825661
37,-82.0,0.6875,0.08386163
38,-76.0,0.9375,0.08205767
39,-71.0,1.0,0.0769351
40,-75.0,1.0,0.07200582
41,-73.0,0.9375,0.071027376
42,-76.0,0.9375,0.0693333
43,-74.0,1.0,0.070175126
44,-78.0,0.875,0.07802793
45,-68.0,0.9375,0.07225189
46,-74.0,1.0,0.071539916
47,-72.0,1.0,0.06949717
48,-70.0,1.0,0.06788383
49,-75.0,1.0,0.07017882
50,-73.0,1.0,0.0704174
51,-73.0,0.9375,0.07168175
52,-65.0,1.0,0.07066645
53,-67.0,1.0,0.06731464
54,-70.0,1.0,0.061494105
55,-75.0,1.0,0.061606638
56,-74.0,1.0,0.06598733
57,-77.0,1.0,0.060525976
58,-73.0,1.0,0.06598832
59,-73.0,1.0,0.061026085
60,-70.0,1.0,0.057753302
61,-72.0,1.0,0.06531104
62,-73.0,1.0,0.06414117
63,-70.0,1.0,0.059861492
64,-68.0,1.0,0.065391496
65,-74.0,1.0,0.064430214
66,-71.0,1.0,0.06302848
67,-75.0,0.8125,0.065394595
68,-73.0,1.0,0.06220212
69,-62.0,1.0,0.06331814
