epoch,cumulative_reward,success_rate,mean_loss
0,-112.0,0.0,0.16744828
1,-108.0,0.0625,0.12896204
2,-112.0,0.0,0.1356086
3,-112.0,0.0,0.15704262
4,-112.0,0.0,0.14449973
5,-108.0,0.0625,0.1425751
6,-110.0,0.0625,0.14107981
7,-110.0,0.125,0.14111462
8,-112.0,0.0,0.13093814
9,-108.0,0.125,0.118825436
10,-112.0,0.0,0.11689268
11,-112.0,0.0,0.108279444
12,-112.0,0.0,0.106736556
13,-112.0,0.0,0.10333464
14,-112.0,0.0,0.095333934
15,-111.0,0.0625,0.09986836
16,-112.0,0.0,0.09321096
17,-110.0,0.0625,0.09197213
18,-110.0,0.125,0.09632267
19,-112.0,0.0,0.0883881
20,-106.0,0.125,0.09130336
21,-112.0,0.0,0.08269857
22,-112.0,0.0,0.085136935
23,-112.0,0.0,0.083044544
24,-111.0,0.0625,0.07795038
25,-110.0,0.0625,0.07113496
26,-112.0,0.0,0.072999395
27,-112.0,0.0,0.06814791
28,-112.0,0.0,0.06870045
29,-112.0,0.0,0.0640047
30,-112.0,0.0,0.06833659
31,-112.0,0.0,0.06439659
32,-109.0,0.0625,0.06811136
33,-112.0,0.0,0.062686026
34,-112.0,0.0,0.052734543
35,-112.0,0.0,0.0574368
36,-112.0,0.0,0.055343557
37,-112.0,0.0,0.05506767
38,-112.0,0.0,0.053924512
39,-112.0,0.0,0.053541332
40,-112.0,0.0,0.05187256
41,-112.0,0.0,0.05243355
42,-112.0,0.0,0.045731016
43,-112.0,0.0,0.046761945
44,-108.0,0.0625,0.04572947
45,-112.0,0.0,0.045251854
46,-112.0,0.0,0.038341694
47,-109.0,0.0625,0.05053209
48,-105.0,0.125,0.041497584
49,-109.0,0.0625,0.04152936
50,-112.0,0.0,0.04667727
51,-112.0,0.0,0.04478693
52,-102.0,0.1875,0.03999593
53,-112.0,0.0,0.046804853
54,-108.0,0.125,0.04462029
55,-112.0,0.0,0.042034518
56,-112.0,0.0,0.04129257
57,-112.0,0.0,0.038190994
58,-112.0,0.0,0.038533587
59,-112.0,0.0,0.03634579
60,-112.0,0.0,0.037953112
61,-109.0,0.0625,0.0369902
62,-109.0,0.0625,0.032337807
63,-108.0,0.0625,0.03350892
64,-110.0,0.0625,0.03536465
65,-112.0,0.0,0.03653984
66,-111.0,0.0625,0.032426916
67,-112.0,0.0,0.035165228
68,-112.0,0.0,0.032084715
69,-112.0,0.0,0.03424298
70,-112.0,0.0,0.02917493
71,-106.0,0.125,0.031191643
72,-112.0,0.0,0.029404264
73,-112.0,0.0,0.031556353
74,-112.0,0.0,0.03246365
75,-112.0,0.0,0.03215668
76,-112.0,0.0,0.030277323
77,-112.0,0.0,0.029386753
78,-112.0,0.0,0.03500403
79,-111.0,0.0625,0.02753058
80,-112.0,0.0,0.024904532
81,-109.0,0.0625,0.025550902
82,-106.0,0.125,0.030227333
83,-109.0,0.0625,0.029066082
84,-112.0,0.0,0.029121539
85,-109.0,0.0625,0.028027017
86,-107.0,0.125,0.026143854
87,-108.0,0.0625,0.032783445
88,-112.0,0.0,0.028487325
89,-112.0,0.0,0.027359148
90,-112.0,0.0,0.026085734
91,-112.0,0.0,0.025933374
92,-112.0,0.0,0.028772194
93,-112.0,0.0,0.027263135
94,-112.0,0.0,0.02538631
95,-112.0,0.0,0.024488423
96,-110.0,0.0625,0.027342444
97,-110.0,0.0625,0.027048862
98,-112.0,0.0,0.023103323
99,-112.0,0.0,0.023660699
100,-109.0,0.0625,0.022269214
101,-111.0,0.0625,0.024717694
102,-112.0,0.0,0.022704009
103,-109.0,0.0625,0.024933428
104,-111.0,0.0625,0.024912436
105,-109.0,0.0625,0.02510773
106,-105.0,0.125,0.025572872
107,-109.0,0.0625,0.024995992
108,-112.0,0.0,0.02457751
109,-108.0,0.0625,0.027396714
110,-112.0,0.0,0.02771396
111,-112.0,0.0,0.026872367
112,-106.0,0.125,0.02832059
113,-112.0,0.0,0.023799786
114,-110.0,0.0625,0.02608127
115,-112.0,0.0,0.023718467
116,-112.0,0.0,0.021474602
117,-109.0,0.0625,0.025465894
118,-112.0,0.0,0.022903671
119,-110.0,0.125,0.024990177
120,-111.0,0.0625,0.025166154
121,-105.0,0.125,0.026029374
122,-107.0,0.1875,0.024360282
123,-109.0,0.0625,0.02399539
124,-112.0,0.0,0.025238713
125,-112.0,0.0,0.025541674
126,-106.0,0.1875,0.02216218
127,-110.0,0.0625,0.022801697
128,-112.0,0.0,0.025241524
129,-110.0,0.0625,0.024423528
130,-109.0,0.0625,0.025795445
131,-112.0,0.0,0.022507971
132,-109.0,0.0625,0.026435142
133,-110.0,0.0625,0.02713277
134,-110.0,0.0625,0.029992014
135,-112.0,0.0,0.024310825
136,-109.0,0.0625,0.0246572
137,-112.0,0.0,0.025311828
138,-111.0,0.0625,0.027055904
139,-106.0,0.125,0.024737434
140,-110.0,0.0625,0.025259543
141,-109.0,0.0625,0.024342025
142,-109.0,0.0625,0.02701441
143,-112.0,0.0,0.025891047
144,-112.0,0.0,0.025556186
145,-109.0,0.0625,0.025345966
146,-108.0,0.125,0.026666414
147,-109.0,0.0625,0.027022839
148,-108.0,0.125,0.028575486
149,-109.0,0.0625,0.024603894
