epoch,cumulative_reward,success_rate,mean_loss
0,-112.0,0.0,0.2527055
1,-109.0,0.0625,0.15455046
2,-112.0,0.0,0.1589804
3,-106.0,0.125,0.18215694
4,-112.0,0.0,0.18510997
5,-112.0,0.0,0.17517534
6,-112.0,0.0,0.17298564
7,-110.0,0.0625,0.1578537
8,-106.0,0.125,0.14267978
9,-112.0,0.0,0.13425592
10,-112.0,0.0,0.12191649
11,-108.0,0.0625,0.12923265
12,-112.0,0.0,0.11906731
13,-112.0,0.0,0.112766065
14,-112.0,0.0,0.10844822
15,-112.0,0.0,0.10344718
16,-112.0,0.0,0.0999569
17,-112.0,0.0,0.0968971
18,-111.0,0.0625,0.09047848
19,-112.0,0.0,0.09279231
20,-112.0,0.0,0.086199686
21,-112.0,0.0,0.07489659
22,-111.0,0.0625,0.0809178
23,-112.0,0.0,0.078572735
24,-112.0,0.0,0.0725451
25,-109.0,0.0625,0.06694604
26,-112.0,0.0,0.06908033
27,-112.0,0.0,0.063114986
28,-110.0,0.125,0.06629313
29,-112.0,0.0,0.061217688
30,-112.0,0.0,0.06231621
31,-111.0,0.0625,0.055061042
32,-112.0,0.0,0.055895127
33,-112.0,0.0,0.05429746
34,-112.0,0.0,0.05176015
35,-110.0,0.0625,0.051272154
36,-112.0,0.0,0.04658432
37,-112.0,0.0,0.046552792
38,-111.0,0.0625,0.045076072
39,-112.0,0.0,0.042611457
40,-112.0,0.0,0.04045063
41,-111.0,0.0625,0.039421532
42,-112.0,0.0,0.03990278
43,-112.0,0.0,0.04127625
44,-111.0,0.0625,0.0345009
45,-111.0,0.0625,0.035615444
46,-110.0,0.125,0.031560417
47,-112.0,0.0,0.03388048
48,-112.0,0.0,0.030186528
49,-111.0,0.0625,0.033894993
50,-108.0,0.0625,0.033597127
51,-112.0,0.0,0.031199956
52,-112.0,0.0,0.0319083
53,-112.0,0.0,0.0276083
54,-111.0,0.0625,0.028257918
55,-112.0,0.0,0.026752356
56,-112.0,0.0,0.026439682
57,-112.0,0.0,0.026173562
58,-111.0,0.0625,0.026681483
59,-112.0,0.0,0.027229588
60,-112.0,0.0,0.024388462
61,-112.0,0.0,0.022574738
62,-112.0,0.0,0.025124485
63,-110.0,0.0625,0.02166384
64,-111.0,0.0625,0.021663666
65,-111.0,0.0625,0.021013735
66,-111.0,0.0625,0.020563085
67,-112.0,0.0,0.022081548
68,-112.0,0.0,0.01865424
69,-111.0,0.0625,0.018259933
70,-110.0,0.0625,0.020085957
71,-111.0,0.0625,0.018111028
72,-107.0,0.1875,0.017815758
73,-112.0,0.0,0.01452028
74,-112.0,0.0,0.016245471
75,-112.0,0.0,0.015296486
76,-112.0,0.0,0.018562306
77,-111.0,0.0625,0.01577673
78,-112.0,0.0,0.015995223
79,-112.0,0.0,0.014794963
80,-112.0,0.0,0.0152883995
81,-112.0,0.0,0.015489007
82,-111.0,0.0625,0.015084805
83,-111.0,0.0625,0.013390283
84,-112.0,0.0,0.014546605
85,-112.0,0.0,0.015042096
86,-112.0,0.0,0.013385659
87,-111.0,0.0625,0.013648018
88,-112.0,0.0,0.013682661
89,-109.0,0.0625,0.014044252
90,-112.0,0.0,0.014608219
91,-112.0,0.0,0.012640977
92,-112.0,0.0,0.012924957
93,-112.0,0.0,0.013688505
94,-112.0,0.0,0.014699889
95,-109.0,0.0625,0.010332508
96,-109.0,0.0625,0.010195828
97,-112.0,0.0,0.012354216
98,-112.0,0.0,0.009808505
99,-112.0,0.0,0.010858873
100,-112.0,0.0,0.0097341705
101,-111.0,0.0625,0.010064495
102,-112.0,0.0,0.010425312
103,-112.0,0.0,0.010000508
104,-108.0,0.125,0.010938264
105,-108.0,0.0625,0.011850337
106,-106.0,0.125,0.011152403
107,-111.0,0.0625,0.009474185
108,-112.0,0.0,0.010701261
109,-108.0,0.0625,0.013498282
110,-112.0,0.0,0.010562741
111,-112.0,0.0,0.010871464
112,-111.0,0.0625,0.0118641555
113,-112.0,0.0,0.009725573
114,-112.0,0.0,0.011117919
115,-112.0,0.0,0.011750082
116,-112.0,0.0,0.008892877
117,-112.0,0.0,0.0116714565
118,-109.0,0.0625,0.009657024
119,-112.0,0.0,0.010252099
120,-106.0,0.125,0.012192038
121,-112.0,0.0,0.011736708
122,-112.0,0.0,0.012783052
123,-112.0,0.0,0.0097441245
124,-112.0,0.0,0.010427009
125,-112.0,0.0,0.0125396205
126,-112.0,0.0,0.0064100623
127,-112.0,0.0,0.009891423
128,-108.0,0.0625,0.008844724
129,-110.0,0.0625,0.007957554
130,-112.0,0.0,0.006908532
131,-112.0,0.0,0.011006958
132,-112.0,0.0,0.007238245
133,-111.0,0.0625,0.009313789
134,-112.0,0.0,0.008907257
135,-112.0,0.0,0.011346164
136,-112.0,0.0,0.010332175
137,-109.0,0.0625,0.010021286
138,-110.0,0.0625,0.009638254
139,-112.0,0.0,0.009933967
140,-112.0,0.0,0.009003224
141,-112.0,0.0,0.0094595235
142,-112.0,0.0,0.008428883
143,-112.0,0.0,0.009011377
144,-112.0,0.0,0.007211356
145,-112.0,0.0,0.007290545
146,-112.0,0.0,0.008278994
147,-112.0,0.0,0.007945957
148,-111.0,0.0625,0.008222153
149,-112.0,0.0,0.008103388
